= World Cup 2006    # 32 Teams

== Angola (ANG)   # 23 players

(22)  DF  Michael Rodríguez                  ##    3, Alajuelense (CRC)

 (6)  MF  Danny Fonseca                      ##   22, Cartaginés (CRC)
 (7)  MF  Christian Bolaños                  ##   16, Deportivo Saprissa (CRC)
 (8)  MF  Mauricio Solís                     ##  107, CSD Comunicaciones (GUA)
(10)  MF  Walter Centeno                     ##   93, Deportivo Saprissa (CRC)
(14)  MF  Randall Azofeifa                   ##    5, Deportivo Saprissa (CRC)
(16)  MF  Carlos Hernández                   ##   17, Alajuelense (CRC)
(20)  MF  Douglas Sequeira                   ##   29, Real Salt Lake (USA)

 (9)  FW  Paulo Wanchope                     ##   69, Herediano (CRC)
(11)  FW  Rónald Gómez                       ##   80, Deportivo Saprissa (CRC)
(13)  FW  Kurt Bernard                       ##    3, Puntarenas (CRC)
(19)  FW  Álvaro Saborío                     ##   23, Deportivo Saprissa (CRC)
(21)  FW  Victor Núñez                       ##    3, Cartaginés (CRC)


== Czech Republic (CZE)   # 23 players

 (1)  GK  Petr Čech                          ##   41, Chelsea (ENG)
(16)  GK  Jaromír Blažek                     ##   11, Sparta Prague (CZE)
(23)  GK  Antonín Kinský                     ##    5, Saturn Ramenskoye (RUS)

 (2)  DF  Zdeněk Grygera                     ##   41, Ajax (NED)
 (3)  DF  Pavel Mareš                        ##   10, Zenit St. Petersburg (RUS)
 (5)  DF  Radoslav Kováč                     ##    6, Spartak Moscow (RUS)
 (6)  DF  Marek Jankulovski                  ##   48, Milan (ITA)
(13)  DF  Martin Jiránek                     ##   24, Spartak Moscow (RUS)
(21)  DF  Tomáš Ujfaluši                     ##   48, Fiorentina (ITA)
(22)  DF  David Rozehnal                     ##   22, Paris Saint-Germain (FRA)

 (4)  MF  Tomáš Galásek                      ##   49, Ajax (NED)
 (7)  MF  Libor Sionko                       ##   17, Austria Wien (AUT)
 (8)  MF  Karel Poborský                     ##  115, Dynamo České Budějovice (CZE)
(10)  MF  Tomáš Rosický                      ##   54, Borussia Dortmund (GER)
(11)  MF  Pavel Nedvěd                       ##   87, Juventus (ITA)
(14)  MF  David Jarolím                      ##    3, Hamburg (GER)
(19)  MF  Jan Polák                          ##   18, Nuremberg (GER)
(20)  MF  Jaroslav Plašil                    ##   14, AS Monaco (FRA)

 (9)  FW  Jan Koller                         ##   68, Borussia Dortmund (GER)
