= World Cup 1930    # 13 Teams

== Argentina (ARG)   # 22 players

   -  DF  Frank Vaughn                       ##    0, Ben Millers 
   -  DF  Raphael Tracey                     ##    0, Ben Millers 
   -  DF  James Gentle                       ##    0, Philadelphia Cricket Club 
   -  DF  Jimmy Gallagher                    ##    2, New York Nationals 

   -  MF  Billy Gonsalves                    ##    0, Fall River Marksmen 
   -  MF  Philip Slone                       ##    0, New York Giants 
   -  MF  Jim Brown                          ##    3, New York Giants 
   -  MF  Arnie Oliver                       ##    0, Providence Gold Bugs 
   -  MF  Andy Auld                          ##    1, Providence Gold Bugs 

   -  FW  Bert Patenaude                     ##    0, Fall River Marksmen 
   -  FW  Tom Florie                         ##    2, New Bedford Whalers 
   -  FW  Mike Bookie                        ##    0, Cleveland Slavia 
   -  FW  Bart McGhee                        ##    0, New York Nationals 


== Uruguay (URU)   # 22 players

   -  GK  Enrique Ballestrero                ##    1, Rampla Juniors 
   -  GK  Miguel Capuccini                   ##    6, Peñarol 

   -  DF  Emilio Recoba                      ##    5, Nacional 
   -  DF  Ernesto Mascheroni                 ##    -, Olimpia 
   -  DF  Domingo Tejera                     ##   15, Montevideo Wanderers 
   -  DF  José Nasazzi                       ##   28, Bella Vista 

   -  MF  José Andrade                       ##   30, Nacional 
   -  MF  Lorenzo Fernández                  ##   20, Peñarol 
   -  MF  Carlos Riolfo                      ##    2, Peñarol 
   -  MF  Álvaro Gestido                     ##   10, Peñarol 
   -  MF  Conduelo Píriz                     ##    7, Nacional 
   -  MF  Ángel Melogno                      ##    5, Bella Vista 

   -  FW  Pedro Petrone                      ##   28, Nacional 
   -  FW  Héctor Castro                      ##   17, Nacional 
   -  FW  Pedro Cea                          ##   21, Nacional 
   -  FW  Santos Iriarte                     ##    -, Racing Club 
   -  FW  Juan Carlos Calvo                  ##    -, Miramar Misiones 
   -  FW  Pablo Dorado                       ##    2, Bella Vista 
   -  FW  Zoilo Saldombide                   ##   14, Nacional 
   -  FW  Héctor Scarone                     ##   49, Nacional 
   -  FW  Peregrino Anselmo                  ##    8, Peñarol 
   -  FW  Santos Urdinarán                   ##   19, Nacional 


== Yuguslavia (YUG)   # 17 players

   -  GK  Milan Stojanović                   ##    0, BSK Beograd 
   -  GK  Milovan Jakšić                     ##    2, SK Soko 

   -  DF  Dragoslav Mihajlović               ##    1, BSK Beograd 
   -  DF  Dragomir Tošić                     ##    0, BSK Beograd 
   -  DF  Milutin Ivković                    ##   22, SK Soko 

   -  MF  Milorad Arsenijević                ##   16, SK Beograd 
   -  MF  Teofilo Spasojević                 ##    1, Jugoslavija Beograd 
   -  MF  Momčilo Đokić                      ##    2, Jugoslavija Beograd 
   -  MF  Ljubiša Stefanović                 ##    0, FC Sète 

   -  FW  Blagoje Marjanović                 ##   15, SK Beograd 
   -  FW  Branislav Sekulić                  ##    3, SC Montpellier 
   -  FW  Dragutin Najdanović                ##    3, BSK Beograd 
   -  FW  Branislav Hrnjiček                 ##    4, Jugoslavija Beograd 
   -  FW  Bozidar Marković                   ##    0, Vojvodina Novi Sad 
   -  FW  Aleksandar Tirnanić                ##    5, BSK Beograd 
   -  FW  Ivan Bek                           ##    2, FC Sète 
   -  FW  Đorđe Vujadinović                  ##    4, BSK Beograd 

