= World Cup 1978    # 16 Teams

== Argentina (ARG)   # 22 players

(15)  MF  Germán Leguía                      ##    -, Deportivo Municipal 
(16)  MF  Raúl Gorriti                       ##    -, Sporting Cristal 
(17)  MF  Alfredo Quesada                    ##    -, Sporting Cristal 
(18)  MF  Ernesto Labarthe                   ##    -, Sport Boys 

 (7)  FW  Juan Muñante                       ##    -, Club UNAM 
(11)  FW  Juan Carlos Oblitas                ##    -, Sporting Cristal 
(12)  FW  Roberto Mosquera                   ##    -, Sporting Cristal 
(19)  FW  Guillermo La Rosa                  ##    -, Alianza Lima 
(20)  FW  Hugo Sotil                         ##    -, Alianza Lima 


== Poland (POL)   # 22 players

 (1)  GK  Jan Tomaszewski                    ##    -, ŁKS Łódź 
(21)  GK  Zygmunt Kukla                      ##    -, Stal Mielec 
(22)  GK  Zdzisław Kostrzewa                 ##    -, Zagłębie Sosnowiec 

 (3)  DF  Henryk Maculewicz                  ##    -, Wisła Kraków 
 (4)  DF  Antoni Szymanowski                 ##    -, Wisła Kraków 
 (6)  DF  Jerzy Gorgoń                       ##    -, Górnik Zabrze 
 (9)  DF  Władysław Żmuda                    ##    -, Śląsk Wrocław 
(10)  DF  Wojciech Rudy                      ##    -, Zagłębie Sosnowiec 
(13)  DF  Janusz Kupcewicz                   ##    -, Arka Gdynia 
(14)  DF  Mirosław Justek                    ##    -, Lech Poznań 
(20)  DF  Roman Wójcicki                     ##    -, Odra Opole 

 (5)  MF  Adam Nawałka                       ##    -, Wisła Kraków 
 (8)  MF  Henryk Kasperczak                  ##    -, Stal Mielec 
(11)  MF  Bohdan Masztaler                   ##    -, ŁKS Łódź 
(12)  MF  Kazimierz Deyna                    ##    -, Legia Warszawa 
(15)  MF  Marek Kusto                        ##    -, Legia Warszawa 
(18)  MF  Zbigniew Boniek                    ##    -, Widzew Łódź 

 (2)  FW  Włodzimierz Mazur                  ##    -, Zagłębie Sosnowiec 
 (7)  FW  Andrzej Iwan                       ##    -, Wisła Kraków 
(16)  FW  Grzegorz Lato                      ##    -, Stal Mielec 
(17)  FW  Andrzej Szarmach                   ##    -, Stal Mielec 
(19)  FW  Włodzimierz Lubański               ##    -, KSC Lokeren 


== Scotland (SCO)   # 22 players

 (1)  GK  Alan Rough                         ##    -, Partick Thistle 
(12)  GK  Jim Blyth                          ##    -, Coventry City 
(20)  GK  Bobby Clark                        ##    -, Aberdeen 

 (2)  DF  Sandy Jardine                      ##    -, Rangers 
 (3)  DF  Willie Donachie                    ##    -, Manchester City 
 (4)  DF  Martin Buchan                      ##    -, Manchester United 
 (5)  DF  Gordon McQueen                     ##    -, Manchester United 
(13)  DF  Stuart Kennedy                     ##    -, Aberdeen 
(14)  DF  Tom Forsyth                        ##    -, Rangers 
(22)  DF  Kenny Burns                        ##    -, Nottingham Forest 

 (6)  MF  Bruce Rioch                        ##    -, Derby County 
 (7)  MF  Don Masson                         ##    -, Derby County 
(10)  MF  Asa Hartford                       ##    -, Manchester City 
(11)  MF  Willie Johnston                    ##    -, West Bromwich 
(15)  MF  Archie Gemmill                     ##    -, Nottingham Forest 
(18)  MF  Graeme Souness                     ##    -, Liverpool 

 (8)  FW  Kenny Dalglish                     ##    -, Liverpool 
 (9)  FW  Joe Jordan                         ##    -, Manchester United 
(16)  FW  Lou Macari                         ##    -, Manchester United 
(17)  FW  Derek Johnstone                    ##    -, Rangers 
(19)  FW  John Robertson                     ##    -, Nottingham Forest 
(21)  FW  Joe Harper                         ##    -, Aberdeen 


== Sweden (SWE)   # 22 players

 (1)  GK  Ronnie Hellström                   ##    -, 1. FC Kaiserslautern 
(12)  GK  Göran Hagberg                      ##    -, Östers IF 
(17)  GK  Jan Möller                         ##    -, Malmö FF 

 (2)  DF  Hasse Borg                         ##    -, Eintracht Braunschweig 
 (3)  DF  Roy Andersson                      ##    -, Malmö FF 
 (5)  DF  Ingemar Erlandsson                 ##    -, Malmö FF 
(13)  DF  Magnus Andersson                   ##    -, Malmö FF 
(19)  DF  Kent Karlsson                      ##    -, IFK Eskilstuna 
(20)  DF  Roland Andersson                   ##    -, Malmö FF 

 (4)  MF  Björn Nordqvist                    ##    -, IFK Göteborg 
 (6)  MF  Staffan Tapper                     ##    -, Malmö FF 
 (7)  MF  Anders Linderoth                   ##    -, Olympique de Marseille 
 (9)  MF  Lennart Larsson                    ##    -, FC Schalke 04 
(14)  MF  Ronald Åhman                       ##    -, Örebro SK 
(18)  MF  Olle Nordin                        ##    -, IFK Göteborg 

 (8)  FW  Bo Larsson                         ##    -, Malmö FF 
(10)  FW  Thomas Sjöberg                     ##    -, Malmö FF 
(11)  FW  Benny Wendt                        ##    -, 1. FC Kaiserslautern 
(15)  FW  Torbjörn Nilsson                   ##    -, IFK Göteborg 
(16)  FW  Conny Torstensson                  ##    -, FC Zürich 
(21)  FW  Sanny Åslund                       ##    -, AIK Fotboll 
(22)  FW  Ralf Edström                       ##    -, IFK Göteborg 


== Tunisia (TUN)   # 22 players

 (1)  GK  Sadok Sassi                        ##    -, Club Africain 
(21)  GK  Lamine Ben Aziza                   ##    -, Étoile Sportive du Sahel 
(22)  GK  Mokhtar Naili                      ##    -, Club Africain 

 (2)  DF  Mokhtar Dhouib                     ##    -, CS Sfaxien 
 (3)  DF  Ali Kaabi                          ##    -, COT Tunis 
