= World Cup 1982    # 24 Teams

== Argentina (ARG)   # 22 players

(11)  FW  Roberto López Ufarte               ##    -, Real Sociedad 
(18)  FW  Pedro Uralde                       ##    -, Real Sociedad 
(19)  FW  Santillana                         ##    -, Real Madrid 
(20)  FW  Quini                              ##    -, FC Barcelona 


== France (FRA)   # 22 players

 (1)  GK  Dominique Baratelli                ##   21, Paris St-Germain 
(21)  GK  Jean Castaneda                     ##    7, St-Etienne 
(22)  GK  Jean-Luc Ettori                    ##    2, AS Monaco 

 (2)  DF  Manuel Amoros                      ##    4, AS Monaco 
 (3)  DF  Patrick Battiston                  ##   19, St-Etienne 
 (4)  DF  Maxime Bossis                      ##   37, Nantes 
 (5)  DF  Gérard Janvion                     ##   32, St-Etienne 
 (6)  DF  Christian Lopez                    ##   35, St-Etienne 
 (7)  DF  Philippe Mahut                     ##    4, Metz 
 (8)  DF  Marius Trésor                      ##   53, Girondins Bordeaux 

 (9)  MF  Bernard Genghini                   ##    8, Sochaux 
(10)  MF  Michel Platini                     ##   35, St-Etienne 
(11)  MF  René Girard                        ##    2, Girondins Bordeaux 
(12)  MF  Alain Giresse                      ##   14, Girondins Bordeaux 
(13)  MF  Jean-François Larios               ##   15, St-Etienne 
(14)  MF  Jean Tigana                        ##   13, Girondins Bordeaux 
(15)  MF  Bruno Bellone                      ##    6, AS Monaco 
(18)  MF  Dominique Rocheteau                ##   24, Paris St-Germain 
(19)  MF  Didier Six                         ##   36, VfB Stuttgart 

(16)  FW  Alain Couriol                      ##    7, AS Monaco 
(17)  FW  Bernard Lacombe                    ##   29, Girondins Bordeaux 
(20)  FW  Gérard Soler                       ##    7, Girondins Bordeaux 


== West Germany (FRG)   # 22 players

 (1)  GK  Harald Schumacher                  ##    -, FC Köln 
(21)  GK  Bernd Franke                       ##    -, Eintracht Braunschweig 
(22)  GK  Eike Immel                         ##    -, Borussia Dortmund 

 (4)  DF  Karlheinz Förster                  ##    -, Stuttgart 
 (5)  DF  Bernd Förster                      ##    -, Stuttgart 
(12)  DF  Wilfried Hannes                    ##    -, Borussia Mönchengladbach 
(19)  DF  Holger Hieronymus                  ##    -, Hamburg 
(20)  DF  Manfred Kaltz                      ##    -, Hamburg 

 (2)  MF  Hans-Peter Briegel                 ##    -, Kaiserslautern 
 (3)  MF  Paul Breitner                      ##    -, Bayern Munich 
 (6)  MF  Wolfgang Dremmler                  ##    -, Bayern Munich 
 (7)  MF  Pierre Littbarski                  ##    -, FC Köln 
(10)  MF  Hansi Müller                       ##    -, Stuttgart 
(14)  MF  Felix Magath                       ##    -, Hamburg 
(15)  MF  Uli Stielike                       ##    -, Real Madrid 
(17)  MF  Stephan Engels                     ##    -, FC Köln 
(18)  MF  Lothar Matthäus                    ##    -, Borussia Mönchengladbach 

 (8)  FW  Klaus Fischer                      ##    -, FC Köln 
 (9)  FW  Horst Hrubesch                     ##    -, Hamburg 
(11)  FW  Karl-Heinz Rummenigge              ##    -, Bayern Munich 
(13)  FW  Uwe Reinders                       ##    -, Werder Bremen 
(16)  FW  Thomas Allofs                      ##    -, Fortuna Düsseldorf 


== Honduras (HON)   # 22 players

 (1)  GK  Salomón Nazar                      ##    -, Universidad (HON)
(21)  GK  Julio César Arzú                   ##    -, Real España (HON)
(22)  GK  Jimmy Steward                      ##    -, Real España (HON)

 (2)  DF  Efraín Gutiérrez                   ##    -, Universidad (HON)
 (3)  DF  Jaime Villegas                     ##    -, Real España (HON)
 (4)  DF  Fernando Bulnes                    ##    -, Olimpia (HON)
 (5)  DF  Anthony Costly                     ##    -, Real España (HON)
(12)  DF  Domingo Droumond                   ##    -, Platense (HON)
(17)  DF  José Cruz                          ##    -, Motagua (HON)

 (6)  MF  Ramón Maradiaga                    ##    -, Motagua (HON)
 (8)  MF  Francisco Javier Toledo            ##    -, Marathón (HON)
(11)  MF  David Buezo                        ##    -, Motagua (HON)
(13)  MF  Prudencio Norales                  ##    -, Olimpia (HON)
(14)  MF  Juan Cruz                          ##    -, Universidad (HON)
(15)  MF  Héctor Zelaya                      ##    -, Motagua (HON)
(18)  MF  Carlos Caballero                   ##    -, Real España (HON)
(20)  MF  Gilberto Yearwood                  ##    -, Valladolid (ESP)

 (7)  FW  Antonio Laing                      ##    -, Platense (HON)
 (9)  FW  Porfirio Betancourt                ##    -, RC Strasbourg (FRA)
(10)  FW  Roberto Figueroa                   ##    -, Vida (HON)
(16)  FW  Roberto Bailey                     ##    -, Marathón (HON)
(19)  FW  Celso Güity                        ##    -, Marathón (HON)


== Hungary (HUN)   # 22 players

 (1)  GK  Ferenc Mészáros                    ##   25, Sporting Clube de Portugal 
(21)  GK  Béla Katzirz                       ##   15, Pécsi MFC 
(22)  GK  Imre Kiss                          ##    0, Tatabányai Bányász 

 (2)  DF  Győző Martos                       ##   27, Waterschei SV Thor 
 (3)  DF  László Bálint                      ##   74, Toulouse FC 
 (6)  DF  Imre Garaba                        ##   17, Budapest Honvéd 
(13)  DF  Tibor Rab                          ##   19, Ferencvárosi TC 
(14)  DF  Sándor Sallai                      ##    8, Debreceni VSC 
(18)  DF  Attila Kerekes                     ##   10, Békéscsabai Előre FC 
(19)  DF  József Varga                       ##    9, Budapest Honvéd 
(20)  DF  József Csuhay                      ##    0, Videoton FC Fehérvár 

 (4)  MF  József Tóth                        ##   47, Újpesti Dózsa 
 (5)  MF  Sándor Müller                      ##   15, Hércules Alicante 
(12)  MF  Lázár Szentes                      ##    1, Rába ETO Győr 
(16)  MF  Ferenc Csongrádi                   ##   13, Videoton FC Fehérvár 
(17)  MF  Károly Csapó                       ##   17, Tatabányai Bányász 

 (7)  FW  László Fazekas                     ##   87, Royal Antwerp FC 
 (8)  FW  Tibor Nyilasi                      ##   49, Ferencvárosi TC 
 (9)  FW  András Törőcsik                    ##   33, Újpesti Dózsa 
(10)  FW  László Kiss                        ##   24, Vasas SC 
(11)  FW  Gábor Pölöskei                     ##    6, Ferencvárosi TC 
(15)  FW  Béla Bodonyi                       ##   13, Budapest Honvéd 


== Italy (ITA)   # 22 players

 (1)  GK  Dino Zoff                          ##    -, Juventus 
(12)  GK  Ivano Bordon                       ##    -, Internazionale 
(22)  GK  Giovanni Galli                     ##    -, Fiorentina 

 (2)  DF  Franco Baresi                      ##    -, Milan 
 (3)  DF  Giuseppe Bergomi                   ##    -, Internazionale 
 (4)  DF  Antonio Cabrini                    ##    -, Juventus 
 (5)  DF  Fulvio Collovati                   ##    -, Milan 
 (6)  DF  Claudio Gentile                    ##    -, Juventus 
 (7)  DF  Gaetano Scirea                     ##    -, Juventus 
 (8)  DF  Pietro Vierchowod                  ##    -, Fiorentina 

 (9)  MF  Giancarlo Antognoni                ##    -, Fiorentina 
(10)  MF  Giuseppe Dossena                   ##    -, Torino 
(11)  MF  Giampiero Marini                   ##    -, Internazionale 
(13)  MF  Gabriele Oriali                    ##    -, Internazionale 
(14)  MF  Marco Tardelli                     ##    -, Juventus 
(15)  MF  Franco Causio                      ##    -, Udinese 
(16)  MF  Bruno Conti                        ##    -, Roma 

(17)  FW  Daniele Massaro                    ##    -, Fiorentina 
(18)  FW  Alessandro Altobelli               ##    -, Internazionale 
(19)  FW  Francesco Graziani                 ##    -, Fiorentina 
(20)  FW  Paolo Rossi                        ##    -, Juventus 
(21)  FW  Franco Selvaggi                    ##    -, Cagliari 


== Kuwait (KUW)   # 22 players

 (1)  GK  Ahmed Al-Tarabulsi                 ##    -, Kuwait SC 
(21)  GK  Adam Marjam                        ##    -, Kazma SC 
(22)  GK  Jasem Bahman                       ##    -, Al-Qadsia SC 

 (2)  DF  Naeem Saad                         ##    -, Al Tadamun SC 
 (3)  DF  Mahboub Juma'a                     ##    -, Al-Salmiya SC 
 (4)  DF  Jamal Al-Qabendi                   ##    -, Kazma SC 
 (5)  DF  Waleed Al-Jasem                    ##    -, Kuwait SC 
(13)  DF  Mubarak Marzouq                    ##    -, Al Tadamun SC 
(14)  DF  Abdullah Mayouf                    ##    -, Kazma SC 
(15)  DF  Sami Al-Hashash                    ##    -, Al-Arabi SC 
(17)  DF  Hamoud Al-Shemmari                 ##    -, Kazma SC 

 (6)  MF  Saad Al-Houti                      ##    -, Kuwait SC 
 (8)  MF  Abdullah Al-Buloushi               ##    -, Al-Arabi SC 
(11)  MF  Nassir Al-Ghanim                   ##    -, Kazma SC 
(12)  MF  Yussef Al-Suwayed                  ##    -, Kazma SC 
(18)  MF  Mohammed Karam                     ##    -, Al-Arabi SC 

 (7)  FW  Fathi Kameel                       ##    -, Al Tadamun SC 
 (9)  FW  Jasem Yaqoub                       ##    -, Al-Qadsia SC 
(10)  FW  Abdulaziz Al-Anberi                ##    -, Kuwait SC 
(16)  FW  Faisal Al-Dakhil                   ##    -, Al-Qadsia SC 
(19)  FW  Muayad Al-Haddad                   ##    -, Khaitan SC 
(20)  FW  Abdulaziz Al-Buloushi              ##    -, Al-Qadsia SC 


== Northern Ireland (NIR)   # 22 players

 (1)  GK  Pat Jennings                       ##    -, Arsenal 
(17)  GK  Jim Platt                          ##    -, Middlesbrough 
(22)  GK  George Dunlop                      ##    -, Linfield 

 (2)  DF  Jimmy Nicholl                      ##    -, Toronto Blizzard 
 (3)  DF  Mal Donaghy                        ##    -, Luton Town 
 (5)  DF  Chris Nicholl                      ##    -, Southampton 
 (6)  DF  John O'Neill                       ##    -, Leicester City 
(12)  DF  John McClelland                    ##    -, Rangers 
(13)  DF  Sammy Nelson                       ##    -, Brighton 

 (4)  MF  David McCreery                     ##    -, Tulsa Roughnecks (USA)
 (7)  MF  Noel Brotherston                   ##    -, Blackburn Rovers 
 (8)  MF  Martin O'Neill                     ##    -, Norwich City 
(10)  MF  Sammy McIlroy                      ##    -, Stoke City 
(14)  MF  Tommy Cassidy                      ##    -, Burnley 
(15)  MF  Tommy Finney                       ##    -, Cambridge United 
(16)  MF  Norman Whiteside                   ##    -, Manchester United 
(18)  MF  Johnny Jameson                     ##    -, Glentoran 
(20)  MF  Jim Cleary                         ##    -, Glentoran 

 (9)  FW  Gerry Armstrong                    ##    -, Watford 
(11)  FW  Billy Hamilton                     ##    -, Burnley 
(19)  FW  Felix Healy                        ##    -, Coleraine 
(21)  FW  Bobby Campbell                     ##    -, Bradford City 


== New Zealand (NZL)   # 22 players

 (1)  GK  Richard Wilson                     ##    -, Preston Macedonia 
(21)  GK  Barry Pickering                    ##    -, Miramar Rangers 
(22)  GK  Frank van Hattum                   ##    -, Manurewa AFC 

 (2)  DF  Glenn Dods                         ##    -, Adelaide City 
 (3)  DF  Ricki Herbert                      ##    -, Mount Wellington 
 (5)  DF  Dave Bright                        ##    -, Manurewa AFC 
 (6)  DF  Bobby Almond                       ##    -, Invercargill Thistle 
(14)  DF  Adrian Elrick                      ##    -, Hanimex United 
(15)  DF  John Hill                          ##    -, Gisborne City 
(16)  DF  Glen Adam                          ##    -, Mount Wellington 

 (4)  MF  Brian Turner                       ##    -, Gisborne City 
 (8)  MF  Duncan Cole                        ##    -, Hanimex United 
(10)  MF  Steve Sumner                       ##    -, West Adelaide Hellas 
(11)  MF  Sam Malcolmson                     ##    -, East Coast Bays AFC 
(12)  MF  Keith MacKay                       ##    -, Gisborne City 
(13)  MF  Kenny Cresswell                    ##    -, Gisborne City 
(17)  MF  Allan Boath                        ##    -, West Adelaide Hellas 
(18)  MF  Peter Simonsen                     ##    -, Manurewa AFC 
(19)  MF  Billy McClure                      ##    -, Mount Wellington 

 (7)  FW  Wynton Rufer                       ##    -, Miramar Rangers 
 (9)  FW  Steve Wooddin                      ##    -, South Melbourne FC 
(20)  FW  Grant Turner                       ##    -, Gisborne City 


== Peru (PER)   # 22 players

 (1)  GK  Eusebio Acasuzo                    ##    -, Universitario 
(12)  GK  José González                      ##    -, Alianza Lima 
(21)  GK  Ramón Quiroga                      ##    -, Sporting Cristal 

 (2)  DF  Jaime Duarte                       ##    -, Alianza Lima 
 (3)  DF  Salvador Salguero                  ##    -, Alianza Lima 
 (4)  DF  Hugo Gastulo                       ##    -, Universitario 
(15)  DF  Rubén Toribio Díaz                 ##    -, Sporting Cristal 
(16)  DF  Jorge Olaechea                     ##    -, Alianza Lima 
(17)  DF  Franco Navarro                     ##    -, Deportivo Municipal 

 (5)  MF  Germán Leguía                      ##    -, Universitario 
 (6)  MF  José Velásquez                     ##    -, Independiente Medellín 
 (8)  MF  César Cueto                        ##    -, Atlético Nacional 
 (9)  MF  Julio César Uribe                  ##    -, Sporting Cristal 
(13)  MF  Oscar Arizaga                      ##    -, Atlético Chalaco 
