= World Cup 1962    # 16 Teams

== Argentina (ARG)   # 22 players

 (6)  MF  Josef Masopust                     ##   44, Dukla Prague 
 (7)  MF  Jozef Štibrányi                    ##    3, Spartak Trnava 

 (8)  FW  Adolf Scherer                      ##   18, TJ Slovnaft Bratislava 
 (9)  FW  Pavol Molnár                       ##   20, ŠK Slovan Bratislava 
(10)  FW  Jozef Adamec                       ##    4, Dukla Prague 
(11)  FW  Josef Jelínek                      ##    4, Dukla Prague 
(14)  FW  Václav Mašek                       ##    7, Spartak Praha Sokolovo 
(15)  FW  Vladimír Koiš                      ##    1, CKD Praha 
(17)  FW  Tomáš Pospíchal                    ##   10, Baník Ostrava 
(18)  FW  Josef Kadraba                      ##    9, SONP Kladno 
(19)  FW  Andrej Kvašňák                     ##   12, Spartak Praha Sokolovo 
(20)  FW  Jaroslav Borovička                 ##   21, Dukla Prague 


== Soviet Union (URS)   # 22 players

 (1)  GK  Lev Yashin                         ##   42, Dynamo Moscow 
 (2)  GK  Vladimir Maslachenko               ##    8, Lokomotiv Moscow 
 (3)  GK  Sergey Kotrikadze                  ##    0, Dinamo Tbilisi 

 (4)  DF  Eduard Dubinski                    ##    9, CSKA Moscow 
 (5)  DF  Givi Chokheli                      ##   16, Dinamo Tbilisi 
 (6)  DF  Leonid Ostrovskiy                  ##    3, Torpedo Moscow 
 (7)  DF  Anatoli Maslyonkin                 ##   29, Spartak Moscow 
(12)  DF  Valery Voronin                     ##   14, Torpedo Moscow 

 (8)  MF  Albert Shesternyov                 ##    1, CSKA Moscow 
 (9)  MF  Nikolai Manoshin                   ##    8, Torpedo Moscow 
(10)  MF  Igor Netto                         ##   48, Spartak Moscow 
(11)  MF  Yozhef Sabo                        ##    0, Dynamo Kyiv 
(18)  MF  Slava Metreveli                    ##   19, Torpedo Moscow 
(21)  MF  Galimzyan Khusainov                ##    3, Spartak Moscow 
(22)  MF  Igor Chislenko                     ##    5, Dynamo Moscow 

(13)  FW  Gennadi Gusarov                    ##    5, Torpedo Moscow 
(14)  FW  Valentin Ivanov                    ##   39, Torpedo Moscow 
(15)  FW  Viktor Kanevski                    ##    3, Dynamo Kyiv 
(16)  FW  Aleksei Mamykin                    ##    7, CSKA Moscow 
(17)  FW  Mikhail Meskhi                     ##   18, Dinamo Tbilisi 
(19)  FW  Viktor Ponedelnik                  ##   15, SKA Rostov 
(20)  FW  Viktor Serebryanikov               ##    0, Dynamo Kyiv 


== Uruguay (URU)   # 22 players

 (1)  GK  Roberto Sosa                       ##   11, Nacional 
(12)  GK  Luis Maidana                       ##    9, Peñarol 

 (2)  DF  Horacio Troche                     ##   16, Nacional 
 (3)  DF  Emilio Álvarez                     ##    5, Nacional 
 (4)  DF  Omar Méndez                        ##    -, Nacional 
(14)  DF  William Martínez                   ##   44, Peñarol 
(15)  DF  Rubén Soria                        ##    2, Cerro 
(17)  DF  Rubén González                     ##   10, Nacional 
(18)  DF  Eliseo Álvarez                     ##    0, Nacional 

 (5)  MF  Néstor Gonçalves                   ##   25, Peñarol 
 (6)  MF  Pedro Cubilla                      ##    6, Rampla Juniors 
 (8)  MF  Julio César Cortés                 ##    1, Sud América 
(10)  MF  Pedro Rocha                        ##    3, Peñarol 
(16)  MF  Edgardo González                   ##   21, Peñarol 
(19)  MF  Ronald Langón                      ##    5, Defensor 

 (7)  FW  Domingo Pérez                      ##    9, Nacional 
 (9)  FW  José Sasía                         ##   35, Peñarol 
(11)  FW  Luis Cubilla                       ##   12, Peñarol 
(20)  FW  Mario Ludovico Bergara             ##   12, Nacional 
(21)  FW  Héctor Silva                       ##    6, Danubio 
(22)  FW  Ángel Cabrera                      ##    3, Peñarol 
(23)  FW  Guillermo Escalada                 ##   29, Nacional 


== Yuguslavia (YUG)   # 22 players

 (1)  GK  Milutin Šoškić                     ##   29, Partizan 
(12)  GK  Srboljub Krivokuća                 ##    7, OFK Belgrade 
(19)  GK  Mirko Stojanović                   ##    2, Dinamo Zagreb 

 (2)  DF  Vladimir Durković                  ##   33, Red Star 
 (3)  DF  Fahrudin Jusufi                    ##   29, Partizan 
 (5)  DF  Vlatko Marković                    ##    7, Dinamo Zagreb 
 (6)  DF  Vladica Popović                    ##    3, Red Star 
(13)  DF  Slavko Svinjarević                 ##    1, Vojvodina 
(14)  DF  Vasilije Šijaković                 ##   10, OFK Belgrade 
(20)  DF  Žarko Nikolić                      ##    9, Vojvodina 

 (4)  MF  Petar Radaković                    ##    9, Rijeka 
 (8)  MF  Dragoslav Šekularac                ##   29, Red Star 
(10)  MF  Milan Galić                        ##   28, Partizan 
(15)  MF  Željko Matuš                       ##    9, Dinamo Zagreb 
(17)  MF  Vojislav Melić                     ##    0, Red Star 
(18)  MF  Vladica Kovačević                  ##    4, Partizan 
(22)  MF  Aleksandar Ivoš                    ##    0, Sloboda 

 (7)  FW  Andrija Anković                    ##    7, Hajduk Split 
 (9)  FW  Dražan Jerković                    ##    9, Dinamo Zagreb 
(11)  FW  Josip Skoblar                      ##    2, OFK Belgrade 
(16)  FW  Muhamed Mujić                      ##   31, Velež 
(21)  FW  Nikola Stipić                      ##    0, Red Star 

