= World Cup 1974    # 16 Teams

== Argentina (ARG)   # 22 players

 (7)  MF  Jürgen Pommerenke                  ##   10, FC Magdeburg 
(10)  MF  Hans-Jürgen Kreische               ##   36, Dynamo Dresden 
(13)  MF  Reinhard Lauck                     ##   14, Dynamo Berlin 
(16)  MF  Harald Irmscher                    ##   29, Carl Zeiss Jena 
(17)  MF  Erich Hamann                       ##    1, FC Vorwärts Frankfurt/Oder 
(19)  MF  Wolfgang Seguin                    ##   13, FC Magdeburg 

 (8)  FW  Wolfram Löwe                       ##   33, Lokomotiv Leipzig 
 (9)  FW  Peter Ducke                        ##   57, Carl Zeiss Jena 
(11)  FW  Joachim Streich                    ##   26, Hansa Rostock 
(14)  FW  Jürgen Sparwasser                  ##   28, FC Magdeburg 
(15)  FW  Eberhard Vogel                     ##   53, Carl Zeiss Jena 
(20)  FW  Martin Hoffmann                    ##    3, FC Magdeburg 


== Haiti (HAI)   # 22 players

 (1)  GK  Henri Françillon                   ##    -, Victory FC 
(21)  GK  Wilner Piquant                     ##    -, Violette 
(22)  GK  Gérard Joseph                      ##    -, Racing Club Haïtien 

 (2)  DF  Wilfried Louis                     ##    -, Don Bosco 
 (3)  DF  Arsène Auguste                     ##    -, Racing Club Haïtien 
 (4)  DF  Fritz André                        ##    -, Violette 
 (5)  DF  Serge Ducosté                      ##    -, Aigle Noir AC 
 (6)  DF  Pierre Bayonne                     ##    -, Violette 
(13)  DF  Serge Racine                       ##    -, Aigle Noir AC 
(14)  DF  Wilner Nazaire                     ##    -, Valenciennes 
(19)  DF  Jean-Herbert Austin                ##    -, Violette 

 (7)  MF  Philippe Vorbe                     ##    -, Violette 
 (8)  MF  Jean-Claude Désir                  ##    -, Aigle Noir AC 
 (9)  MF  Eddy Antoine                       ##    -, Racing Club Haïtien 
(10)  MF  Guy François                       ##    -, Violette 
(12)  MF  Ernst Jean-Joseph                  ##    -, Violette 
(17)  MF  Joseph-Marion Leandré              ##    -, Racing Club Haïtien 

(11)  FW  Guy Saint-Vil                      ##    -, Racing Club Haïtien 
(15)  FW  Roger Saint-Vil                    ##    -, Archibald FC 
(16)  FW  Fritz Leandré                      ##    -, Racing Club Haïtien 
(18)  FW  Claude Barthélemy                  ##    -, Racing Club Haïtien 
(20)  FW  Emmanuel Sanon                     ##    -, Don Bosco 


== Italy (ITA)   # 22 players

 (1)  GK  Dino Zoff                          ##   32, Juventus 
(12)  GK  Enrico Albertosi                   ##   34, Cagliari 
(22)  GK  Luciano Castellini                 ##    0, Torino 

 (2)  DF  Luciano Spinosi                    ##   16, Juventus 
 (3)  DF  Giacinto Facchetti                 ##   73, Internazionale 
 (5)  DF  Francesco Morini                   ##    6, Juventus 
 (6)  DF  Tarcisio Burgnich                  ##   63, Internazionale 
(13)  DF  Giuseppe Sabadini                  ##    4, Milan 
(14)  DF  Mauro Bellugi                      ##    7, Internazionale 
(15)  DF  Giuseppe Wilson                    ##    1, Lazio 

 (4)  MF  Romeo Benetti                      ##   15, Milan 
 (7)  MF  Sandro Mazzola                     ##   67, Internazionale 
 (8)  MF  Fabio Capello                      ##   16, Juventus 
(10)  MF  Gianni Rivera                      ##   58, Milan 
(16)  MF  Antonio Juliano                    ##   17, Napoli 
(17)  MF  Luciano Re Cecconi                 ##    0, Lazio 
(18)  MF  Franco Causio                      ##   10, Juventus 

 (9)  FW  Giorgio Chinaglia                  ##    9, Lazio 
(11)  FW  Luigi Riva                         ##   40, Cagliari 
(19)  FW  Pietro Anastasi                    ##   20, Juventus 
(20)  FW  Roberto Boninsegna                 ##   18, Internazionale 
(21)  FW  Paolo Pulici                       ##    3, Torino 


== Netherlands (NED)   # 22 players

 (8)  GK  Jan Jongbloed                      ##    2, F.C. Amsterdam 
(18)  GK  Piet Schrijvers                    ##    5, F.C. Twente 
(21)  GK  Eddy Treijtel                      ##    4, SC Feyenoord 

 (4)  DF  Kees van Ierssel                   ##    4, F.C. Twente 
 (5)  DF  Rinus Israël                       ##   44, SC Feyenoord 
 (6)  DF  Wim Jansen                         ##   25, SC Feyenoord 
(12)  DF  Ruud Krol                          ##   20, Ajax Amsterdam 
(17)  DF  Wim Rijsbergen                     ##    1, SC Feyenoord 
(19)  DF  Pleun Strik                        ##    8, PSV Eindhoven 
(20)  DF  Wim Suurbier                       ##   27, Ajax Amsterdam 
(22)  DF  Harry Vos                          ##    0, SC Feyenoord 

 (1)  MF  Ruud Geels                         ##    3, Club Brugge 
 (2)  MF  Arie Haan                          ##   10, Ajax Amsterdam 
 (3)  MF  Willem van Hanegem                 ##   29, SC Feyenoord 
 (7)  MF  Theo de Jong                       ##    8, SC Feyenoord 
(10)  MF  René van de Kerkhof                ##    5, PSV Eindhoven 
(11)  MF  Willy van de Kerkhof               ##    1, PSV Eindhoven 
(13)  MF  Johan Neeskens                     ##   17, Ajax Amsterdam 
(14)  MF  Johan Cruyff                       ##   28, CF Barcelona 

 (9)  FW  Piet Keizer                        ##   33, Ajax Amsterdam 
(15)  FW  Rob Rensenbrink                    ##   13, RSC Anderlechtois 
(16)  FW  Johnny Rep                         ##    5, Ajax Amsterdam 


== Poland (POL)   # 22 players

 (1)  GK  Andrzej Fischer                    ##    1, Górnik Zabrze 
 (2)  GK  Jan Tomaszewski                    ##   14, ŁKS Łódź 
 (3)  GK  Zygmunt Kalinowski                 ##    4, Śląsk Wrocław 

 (4)  DF  Antoni Szymanowski                 ##   28, Wisła Kraków 
 (5)  DF  Zbigniew Gut                       ##    9, Odra Opole 
 (6)  DF  Jerzy Gorgoń                       ##   31, Górnik Zabrze 
 (8)  DF  Mirosław Bulzacki                  ##   16, ŁKS Łódź 
 (9)  DF  Władysław Żmuda                    ##    2, Gwardia Warszawa 
(10)  DF  Adam Musiał                        ##   25, Wisła Kraków 

 (7)  MF  Henryk Wieczorek                   ##    3, Górnik Zabrze 
(11)  MF  Lesław Ćmikiewicz                  ##   32, Legia Warszawa 
(12)  MF  Kazimierz Deyna                    ##   49, Legia Warszawa 
(13)  MF  Henryk Kasperczak                  ##   17, Stal Mielec 
(14)  MF  Zygmunt Maszczyk                   ##   16, Ruch Chorzów 

(15)  FW  Roman Jakóbczak                    ##    1, Lech Poznań 
(16)  FW  Grzegorz Lato                      ##   13, Stal Mielec 
(17)  FW  Andrzej Szarmach                   ##    6, Górnik Zabrze 
(18)  FW  Robert Gadocha                     ##   49, Legia Warszawa 
(19)  FW  Jan Domarski                       ##   13, Stal Mielec 
(20)  FW  Zdzisław Kapka                     ##    2, Wisła Kraków 
(21)  FW  Kazimierz Kmiecik                  ##    9, Wisła Kraków 
(22)  FW  Marek Kusto                        ##    1, Wisła Kraków 


== Scotland (SCO)   # 22 players

 (1)  GK  David Harvey                       ##    7, Leeds United 
(12)  GK  Thomson Allan                      ##    2, Dundee 
(13)  GK  Jim Stewart                        ##    0, Kilmarnock 

 (2)  DF  Sandy Jardine                      ##   16, Rangers 
 (3)  DF  Danny McGrain                      ##   12, Celtic 
 (5)  DF  Jim Holton                         ##   11, Manchester United 
 (6)  DF  John Blackley                      ##    3, Hibernian 
(14)  DF  Martin Buchan                      ##   13, Manchester United 
(16)  DF  Willie Donachie                    ##   11, Manchester City 
(21)  DF  Gordon McQueen                     ##    1, Leeds United 
(22)  DF  Erich Schaedler                    ##    1, Hibernian 

 (4)  MF  Billy Bremner                      ##   48, Leeds United 
 (7)  MF  Jimmy Johnstone                    ##   21, Celtic 
(10)  MF  David Hay                          ##   24, Celtic 
(15)  MF  Peter Cormack                      ##    9, Liverpool 
(17)  MF  Donald Ford                        ##    3, Hearts 
(18)  MF  Tommy Hutchison                    ##    8, Coventry City 

 (8)  FW  Kenny Dalglish                     ##   19, Celtic 
 (9)  FW  Joe Jordan                         ##   11, Leeds United 
(11)  FW  Peter Lorimer                      ##   14, Leeds United 
(19)  FW  Denis Law                          ##   54, Manchester City 
(20)  FW  Willie Morgan                      ##   19, Manchester United 


== Sweden (SWE)   # 22 players

 (1)  GK  Ronnie Hellström                   ##    -, Hammarby 
(12)  GK  Sven-Gunnar Larsson                ##    -, Örebro 
(17)  GK  Göran Hagberg                      ##    -,  

 (2)  DF  Jan Olsson                         ##    -, Åtvidaberg 
 (3)  DF  Kent Karlsson                      ##    -, Åtvidaberg 
 (4)  DF  Björn Nordqvist                    ##    -, PSV Eindhoven 
 (5)  DF  Björn Andersson                    ##    -,  
(13)  DF  Roland Grip                        ##    -, AIK 
(18)  DF  Jörgen Augustsson                  ##    -, Åtvidaberg 

 (6)  MF  Ove Grahn                          ##    -, Grasshoppers 
 (7)  MF  Bo Larsson                         ##    -, Malmö 
 (8)  MF  Conny Torstensson                  ##    -, Bayern Munich 
(14)  MF  Staffan Tapper                     ##    -, Malmö 
(15)  MF  Benno Magnusson                    ##    -, Kaiserslautern 
(16)  MF  Inge Ejderstedt                    ##    -,  
(19)  MF  Claes Cronqvist                    ##    -, Landskrona BoIS 
(20)  MF  Sven Lindman                       ##    -, Djurgården 
(21)  MF  Örjan Persson                      ##    -, Örgryte 

 (9)  FW  Ove Kindvall                       ##    -, IFK Norrköping 
(10)  FW  Ralf Edström                       ##    -, PSV Eindhoven 
(11)  FW  Roland Sandberg                    ##    -, Kaiserslautern 
(22)  FW  Thomas Ahlström                    ##    -, Elfsborg 


== Uruguay (URU)   # 22 players

 (1)  GK  Ladislao Mazurkiewicz              ##    -, Atlético Mineiro 
(12)  GK  Héctor Santos                      ##    -, Alianza Lima 
(22)  GK  Gustavo Fernández                  ##    -, Rentistas 

 (2)  DF  Baudilio Jáuregui                  ##    -, River Plate 
 (3)  DF  Juan Carlos Masnik                 ##    -, Nacional 
 (4)  DF  Pablo Forlán                       ##    -, São Paulo 
 (5)  DF  Julio Montero Castillo             ##    -, Nacional 
 (6)  DF  Ricardo Pavoni                     ##    -, Independiente 
(13)  DF  Gustavo de Simone                  ##    -, Defensor Sporting 
(14)  DF  Luis Garisto                       ##    -, Peñarol 
(15)  DF  Mario González                     ##    -, Peñarol 

 (7)  MF  Luis Cubilla                       ##    -, Nacional 
 (8)  MF  Víctor Espárrago                   ##    -, Sevilla 
(10)  MF  Pedro Rocha                        ##    -, São Paulo 
(16)  MF  Alberto Cardaccio                  ##    -, Danubio 
(17)  MF  Julio César Jiménez                ##    -, Peñarol 
(18)  MF  Walter Mantegazza                  ##    -, Nacional 

 (9)  FW  Fernando Morena                    ##    -, Peñarol 
(11)  FW  Rubén Corbo                        ##    -, Peñarol 
(19)  FW  Denis Milar                        ##    -, Liverpool 
(20)  FW  Juan Silva                         ##    -, Peñarol 
(21)  FW  José Gómez                         ##    -, Cerro 


== Yuguslavia (YUG)   # 22 players

 (1)  GK  Enver Marić                        ##    -, Velež Mostar (SFR)
(21)  GK  Ognjen Petrović                    ##    -, Red Star Belgrade (SFR)
(22)  GK  Rizah Mešković                     ##    -, Hajduk Split (SFR)

