= World Cup 1950    # 13 Teams

== Bolivia (BOL)   # 22 players

   -  GK  Torsten Lindberg                   ##   18, IFK Norrköping 
   -  GK  Tore Svensson                      ##    0, Malmö FF 

   -  DF  Lennart Samuelsson                 ##    1, IF Elfsborg Borås 
   -  DF  Ivan Bodin                         ##    0, AIK Stockholm 
   -  DF  Gunnar Johansson                   ##    0, GAIS 
   -  DF  Arne Månsson                       ##    1, Malmö FF 
   -  DF  Erik Nilsson                       ##   28, Malmö FF 

   -  MF  Olle Åhlund                        ##   15, Degerfors IF 
   -  MF  Ingvar Gärd                        ##    1, Malmö FF 
   -  MF  Sune Andersson                     ##   23, AIK Stockholm 
   -  MF  Knut Nordahl                       ##   22, IFK Norrköping 

   -  FW  Stellan Nilsson                    ##   15, Malmö FF 
   -  FW  Karl-Erik Palmér                   ##    5, Malmö FF 
   -  FW  Ingvar Rydell                      ##    2, Malmö FF 
   -  FW  Bror Mellberg                      ##    1, AIK Stockholm 
   -  FW  Lennart Skoglund                   ##    1, AIK Stockholm 
   -  FW  Stig Sundqvist                     ##    6, IFK Norrköping 
   -  FW  Egon Jönsson                       ##    7, Malmö FF 
   -  FW  Kurt Svensson                      ##    0, IS Halmia 
   -  FW  Hasse Jeppson                      ##    1, Djurgårdens IF Stockholm 
   -  FW  Börje Tapper                       ##    4, Malmö FF 


== United States (USA)   # 19 players

   -  GK  Frank Borghi                       ##    4, St. Louis Simpkins-Ford 
   -  GK  Gino Gardassanich                  ##    0, Chicago Slovaks 

   -  DF  Robert Annis                       ##    1, St. Louis Simpkins-Ford 
   -  DF  Joe Maca                           ##    0, Brooklyn Hispano 
   -  DF  Geoff Coombes                      ##    0, Chicago Vikings 
   -  DF  Harry Keough                       ##    3, St. Louis McMahon 

   -  MF  Charlie Colombo                    ##    7, St. Louis Simpkins-Ford 
   -  MF  Ed McIlvenny                       ##    0, Philadelphia Nationals 
   -  MF  Walter Bahr                        ##    7, Philadelphia Nationals 

   -  FW  Benny McLaughlin                   ##    0, Philadelphia Nationals 
   -  FW  Robert Craddock                    ##    0, Pittsburgh Harmarville S.C. 
   -  FW  Joe Gaetjens                       ##    0, Brookhattan 
   -  FW  Nicholas DiOrio                    ##    0, Pittsburgh Harmarville S.C. 
   -  FW  Frank Moniz                        ##    0, Ponta Delgada S.C. 
   -  FW  Gino Pariani                       ##    2, St. Louis Simpkins-Ford 
   -  FW  Ed Souza                           ##    2, Ponta Delgada S.C. 
   -  FW  John Souza                         ##    9, Ponta Delgada S.C. 
   -  FW  Frank Wallace                      ##    4, St. Louis Simpkins-Ford 
   -  FW  Adam Wolanin                       ##    0, Chicago Eagles 


== Uruguay (URU)   # 22 players

   -  GK  Aníbal Paz                         ##   23, Nacional 
   -  GK  Roque Máspoli                      ##   27, Peñarol 

   -  DF  Schubert Gambetta                  ##   39, Nacional 
   -  DF  Eusebio Tejera                     ##   28, Nacional 
   -  DF  Juan Carlos González               ##    3, Peñarol 
   -  DF  Matías González                    ##    7, Cerro 
   -  DF  William Martínez                   ##    3, Rampla Juniors 
   -  DF  Héctor Vilches                     ##    5, Cerro 

   -  MF  Víctor Rodríguez Andrade           ##   11, Central 
   -  MF  Obdulio Varela                     ##   39, Peñarol 
   -  MF  Washington Ortuño                  ##    0, Peñarol 
   -  MF  Rodolfo Pini                       ##    6, Nacional 

   -  FW  Oscar Míguez                       ##    5, Peñarol 
   -  FW  Alcides Ghiggia                    ##    3, Peñarol 
   -  FW  Luis Rijo                          ##    0, Central 
   -  FW  Julio Pérez                        ##    7, Nacional 
   -  FW  Carlos Romero                      ##    3, Danubio 
   -  FW  Juan Alberto Schiaffino            ##    9, Peñarol 
   -  FW  Juan Burgueño                      ##    4, Danubio 
   -  FW  Rubén Morán                        ##    2, Cerro 
