= World Cup 1958    # 16 Teams

== Argentina (ARG)   # 22 players

 (8)  FW  Valentin Ivanov                    ##   15, Torpedo Moscow 
 (9)  FW  Nikita Simonyan                    ##   13, Spartak Moscow 
(10)  FW  Sergei Salnikov                    ##   17, Spartak Moscow 
(11)  FW  Anatoli Ilyin                      ##   22, Spartak Moscow 
(17)  FW  Aleksandr Ivanov                   ##    0, Zenit Leningrad 
(18)  FW  Valentin Bubukin                   ##    0, Lokomotiv Moscow 
(19)  FW  Gennadi Gusarov                    ##    0, Torpedo Moscow 
(20)  FW  Yuri Falin                         ##    1, Torpedo Moscow 
(21)  FW  Genrich Fedosov                    ##    1, Dynamo Moscow 


== Wales (WAL)   # 22 players

 (1)  GK  Jack Kelsey                        ##    -, Arsenal 
(12)  GK  Ken Jones                          ##    -, Cardiff City 
(13)  GK  Graham Vearncombe                  ##    -, Cardiff City 

 (2)  DF  Stuart Williams                    ##    -, West Bromwich Albion 
 (3)  DF  Mel Hopkins                        ##    -, Tottenham Hotspur 
 (4)  DF  Derrick Sullivan                   ##    -, Cardiff City 
(14)  DF  Trevor Edwards                     ##    -, Charlton Athletic 
(15)  DF  Colin Baker                        ##    -, Cardiff City 

 (5)  MF  Mel Charles                        ##    -, Swansea Town 
 (6)  MF  Dave Bowen                         ##    -, Arsenal 
(16)  MF  Vic Crowe                          ##    -, Aston Villa 
(20)  MF  John Elsworthy                     ##    -, Ipswich Town 
(21)  MF  Len Allchurch                      ##    -, Swansea Town 
(22)  MF  George Baker                       ##    -, Plymouth Argyle 

 (7)  FW  Terry Medwin                       ##    -, Tottenham Hotspur 
 (8)  FW  Ron Hewitt                         ##    -, Cardiff City 
 (9)  FW  John Charles                       ##    -, Juventus 
(10)  FW  Ivor Allchurch                     ##    -, Swansea Town 
(11)  FW  Cliff Jones                        ##    -, Tottenham Hotspur 
(17)  FW  Ken Leek                           ##    -, Leicester City 
(18)  FW  Roy Vernon                         ##    -, Blackburn Rovers 
(19)  FW  Colin Webster                      ##    -, Manchester United 


== Yuguslavia (YUG)   # 22 players

 (1)  GK  Vladimir Beara                     ##   53, Crvena zvezda 
(15)  GK  Srboljub Krivokuća                 ##    4, Crvena zvezda 
(21)  GK  Gordan Irović                      ##    0, Dinamo Zagreb 

 (3)  DF  Vasilije Šijaković                 ##    3, OFK Beograd 
 (5)  DF  Novak Tomić                        ##    0, Crvena zvezda 
 (6)  DF  Branko Zebec                       ##   48, FK Partizan Belgrade 
(11)  DF  Vladimir Popović                   ##    1, Crvena zvezda 
(14)  DF  Milorad Milutinović                ##    -, FK Partizan 
(20)  DF  Nikola Radović                     ##    3, Crvena zvezda 

 (2)  MF  Dragoslav Šekularac                ##    5, Crvena zvezda 
 (4)  MF  Tomislav Crnković                  ##   38, Dinamo Zagreb 
 (8)  MF  Dobrosav Krstić                    ##   22, Vojvodina Novi Sad 
 (9)  MF  Vujadin Boškov                     ##   53, Vojvodina Novi Sad 
(10)  MF  Ivan Šantek                        ##    5, Dinamo Zagreb 
(17)  MF  Zdravko Rajkov                     ##   24, Vojvodina Novi Sad 

 (7)  FW  Miloš Milutinović                  ##   30, FK Partizan 
(12)  FW  Aleksandar Petaković               ##   11, Radnicki Belgrade 
(13)  FW  Todor Veselinović                  ##   26, Vojvodina Novi Sad 
(16)  FW  Ilijas Pašić                       ##    7, Zeljeznicar Sarajevo 
(18)  FW  Luka Lipošinović                   ##    6, Dinamo Zagreb 
(19)  FW  Radivoje Ognjanović                ##    1, Radnicki Belgrade 
(22)  FW  Dražan Jerković                    ##    0, Dinamo Zagreb 

