= World Cup 2002    # 32 Teams

== Argentina (ARG)   # 23 players

 (5)  MF  Carsten Ramelow                    ##   25, Bayer Leverkusen 
 (8)  MF  Dietmar Hamann                     ##   40, Liverpool 
(10)  MF  Lars Ricken                        ##   16, Borussia Dortmund 
(13)  MF  Michael Ballack                    ##   22, Bayer Leverkusen 
(16)  MF  Jens Jeremies                      ##   33, Bayern Munich 
(17)  MF  Marco Bode                         ##   34, Werder Bremen 
(18)  MF  Jörg Böhme                         ##    6, Schalke 04 
(19)  MF  Bernd Schneider                    ##    9, Bayer Leverkusen 
(22)  MF  Torsten Frings                     ##    8, Werder Bremen 

 (7)  FW  Oliver Neuville                    ##   30, Bayer Leverkusen 
 (9)  FW  Carsten Jancker                    ##   26, Bayern Munich 
(11)  FW  Miroslav Klose                     ##   12, 1. FC Kaiserslautern 
(14)  FW  Gerald Asamoah                     ##   11, Schalke 04 
(20)  FW  Oliver Bierhoff                    ##   65, AS Monaco 


== Denmark (DEN)   # 23 players

 (1)  GK  Thomas Sørensen                    ##   14, Sunderland 
(16)  GK  Peter Kjær                         ##    4, Aberdeen 
(22)  GK  Jesper Christiansen                ##    0, Vejle 

 (3)  DF  René Henriksen                     ##   39, Panathinaikos 
 (4)  DF  Martin Laursen                     ##   15, Milan 
 (5)  DF  Jan Heintze                        ##   83, PSV 
 (6)  DF  Thomas Helveg                      ##   67, Milan 
(12)  DF  Niclas Jensen                      ##    8, Manchester City 
(13)  DF  Steven Lustü                       ##    4, Lyn 
(20)  DF  Kasper Bøgelund                    ##    2, PSV 

 (2)  MF  Stig Tøfting                       ##   36, Bolton Wanderers 
 (7)  MF  Thomas Gravesen                    ##   22, Everton 
 (8)  MF  Jesper Grønkjær                    ##   25, Chelsea 
(10)  MF  Martin Jørgensen                   ##   32, Udinese 
(14)  MF  Claus Jensen                       ##   13, Charlton Athletic 
(15)  MF  Jan Michaelsen                     ##   11, Panathinaikos 
(17)  MF  Christian Poulsen                  ##    3, Copenhagen 
(19)  MF  Dennis Rommedahl                   ##   19, PSV 
(23)  MF  Brian Steen Nielsen                ##   65, Malmö 

 (9)  FW  Jon Dahl Tomasson                  ##   38, Feyenoord 
(11)  FW  Ebbe Sand                          ##   44, Schalke 04 
(18)  FW  Peter Løvenkrands                  ##    4, Rangers 
(21)  FW  Peter Madsen                       ##    4, Brøndby 


== Ecuador (ECU)   # 23 players

 (1)  GK  José Francisco Cevallos            ##   62, Barcelona 
(12)  GK  Oswaldo Ibarra                     ##   21, El Nacional 
(22)  GK  Daniel Viteri                      ##    0, Emelec 

 (2)  DF  Augusto Porozo                     ##   26, Emelec 
 (3)  DF  Iván Hurtado                       ##   90, Barcelona 
 (4)  DF  Ulises de la Cruz                  ##   52, Hibernian 
 (6)  DF  Raúl Guerrón                       ##   23, Deportivo Quito 
(15)  DF  Marlon Ayoví                       ##   26, Deportivo Quito 
(17)  DF  Giovanny Espinoza                  ##   19, Aucas 
(23)  DF  Walter Ayoví                       ##    2, Emelec 

 (5)  MF  Alfonso Obregón                    ##   40, LDU Quito 
 (8)  MF  Luis Gómez                         ##    8, Barcelona 
(10)  MF  Álex Aguinaga                      ##   92, Necaxa 
(14)  MF  Juan Carlos Burbano                ##   18, El Nacional 
(16)  MF  Cléber Chalá                       ##   64, El Nacional 
(20)  MF  Edwin Tenorio                      ##   33, Barcelona 
(21)  MF  Wellington Sánchez                 ##   35, Emelec 

 (7)  FW  Nicolás Asencio                    ##    4, Barcelona 
 (9)  FW  Iván Kaviedes                      ##   26, Barcelona 
(11)  FW  Agustín Delgado                    ##   46, Southampton 
(13)  FW  Ángel Fernández                    ##   68, El Nacional 
(18)  FW  Carlos Tenorio                     ##    9, LDU Quito 
(19)  FW  Edison Méndez                      ##   24, Deportivo Quito 


== England (ENG)   # 23 players

 (1)  GK  David Seaman                       ##   68, Arsenal 
(13)  GK  Nigel Martyn                       ##   22, Leeds United 
(22)  GK  David James                        ##    9, West Ham United 

 (2)  DF  Danny Mills                        ##    7, Leeds United 
 (3)  DF  Ashley Cole                        ##    8, Arsenal 
 (5)  DF  Rio Ferdinand                      ##   21, Leeds United 
 (6)  DF  Sol Campbell                       ##   45, Arsenal 
(12)  DF  Wes Brown                          ##    6, Manchester United 
(14)  DF  Wayne Bridge                       ##    5, Southampton 
(15)  DF  Martin Keown                       ##   42, Arsenal 
(16)  DF  Gareth Southgate                   ##   48, Middlesbrough 

 (4)  MF  Trevor Sinclair                    ##    5, West Ham United 
 (7)  MF  David Beckham                      ##   49, Manchester United 
 (8)  MF  Paul Scholes                       ##   43, Manchester United 
(18)  MF  Owen Hargreaves                    ##    6, Bayern Munich 
(19)  MF  Joe Cole                           ##    6, West Ham United 
(21)  MF  Nicky Butt                         ##   18, Manchester United 
(23)  MF  Kieron Dyer                        ##    9, Newcastle United 

 (9)  FW  Robbie Fowler                      ##   24, Leeds United 
(10)  FW  Michael Owen                       ##   35, Liverpool 
(11)  FW  Emile Heskey                       ##   23, Liverpool 
(17)  FW  Teddy Sheringham                   ##   46, Tottenham Hotspur 
(20)  FW  Darius Vassell                     ##    5, Aston Villa 


== Spain (ESP)   # 23 players

 (1)  GK  Iker Casillas                      ##   13, Real Madrid 
(13)  GK  Ricardo                            ##    1, Real Valladolid 
(23)  GK  Pedro Contreras                    ##    0, Málaga 

 (2)  DF  Curro Torres                       ##    4, Valencia 
 (3)  DF  Juanfran                           ##    7, Celta Vigo 
 (5)  DF  Carles Puyol                       ##    8, Barcelona 
 (6)  DF  Fernando Hierro                    ##   85, Real Madrid 
(15)  DF  Enrique Romero                     ##    3, Deportivo La Coruña 
(20)  DF  Miguel Ángel Nadal                 ##   59, Mallorca 

 (4)  MF  Iván Helguera                      ##   22, Real Madrid 
 (8)  MF  Rubén Baraja                       ##    9, Valencia 
(14)  MF  David Albelda                      ##    2, Valencia 
(16)  MF  Gaizka Mendieta                    ##   32, Lazio 
(17)  MF  Juan Carlos Valerón                ##   20, Deportivo La Coruña 
(18)  MF  Sergio                             ##    5, Deportivo La Coruña 
(19)  MF  Xavi                               ##    3, Barcelona 
(21)  MF  Luis Enrique                       ##   57, Barcelona 
(22)  MF  Joaquín                            ##    3, Real Betis 

 (7)  FW  Raúl                               ##   51, Real Madrid 
 (9)  FW  Fernando Morientes                 ##   19, Real Madrid 
(10)  FW  Diego Tristán                      ##    7, Deportivo La Coruña 
(11)  FW  Javier de Pedro                    ##    5, Real Sociedad 
(12)  FW  Albert Luque                       ##    0, Mallorca 


== France (FRA)   # 23 players

 (1)  GK  Ulrich Ramé                        ##   11, Bordeaux 
(16)  GK  Fabien Barthez                     ##   47, Manchester United 
(23)  GK  Grégory Coupet                     ##    1, Lyon 

 (2)  DF  Vincent Candela                    ##   36, Roma 
 (3)  DF  Bixente Lizarazu                   ##   74, Bayern Munich 
 (5)  DF  Philippe Christanval               ##    4, Barcelona 
 (8)  DF  Marcel Desailly                    ##   93, Chelsea 
(13)  DF  Mikaël Silvestre                   ##   10, Manchester United 
(15)  DF  Lilian Thuram                      ##   73, Juventus 
(18)  DF  Frank Leboeuf                      ##   47, Marseille 
(19)  DF  Willy Sagnol                       ##    9, Bayern Munich 

 (4)  MF  Patrick Vieira                     ##   52, Arsenal 
 (6)  MF  Youri Djorkaeff                    ##   79, Bolton Wanderers 
 (7)  MF  Claude Makélélé                    ##   14, Real Madrid 
(10)  MF  Zinedine Zidane                    ##   73, Real Madrid 
(14)  MF  Alain Boghossian                   ##   26, Parma 
(17)  MF  Emmanuel Petit                     ##   57, Chelsea 
(22)  MF  Johan Micoud                       ##   14, Parma 

 (9)  FW  Djibril Cissé                      ##    1, Auxerre 
(11)  FW  Sylvain Wiltord                    ##   38, Arsenal 
(12)  FW  Thierry Henry                      ##   35, Arsenal 
(20)  FW  David Trezeguet                    ##   36, Juventus 
(21)  FW  Christophe Dugarry                 ##   51, Bordeaux 


== Croatia (CRO)   # 23 players

 (1)  GK  Stipe Pletikosa                    ##   17, Hajduk Split 
(12)  GK  Tomislav Butina                    ##    7, Dinamo Zagreb 
(23)  GK  Vladimir Vasilj                    ##    2, Zagreb 

 (2)  DF  Anthony Šerić                      ##    8, Hellas Verona 
 (3)  DF  Josip Šimunić                      ##    6, Hertha BSC 
 (4)  DF  Stjepan Tomas                      ##   17, Vicenza 
 (6)  DF  Boris Živković                     ##   15, Bayer Leverkusen 
(15)  DF  Daniel Šarić                       ##   25, Panathinaikos 
(17)  DF  Robert Jarni                       ##   78, Panathinaikos 
(20)  DF  Dario Šimić                        ##   48, Internazionale 
(21)  DF  Robert Kovač                       ##   19, Bayern Munich 

 (5)  MF  Milan Rapaić                       ##   23, Fenerbahçe 
 (8)  MF  Robert Prosinečki                  ##   48, Portsmouth 
(10)  MF  Niko Kovač                         ##   20, Bayern Munich 
(13)  MF  Mario Stanić                       ##   43, Chelsea 
(14)  MF  Zvonimir Soldo                     ##   59, VfB Stuttgart 
(16)  MF  Jurica Vranješ                     ##    7, Bayer Leverkusen 

 (7)  FW  Davor Vugrinec                     ##   21, Lecce 
