= World Cup 1954    # 16 Teams

== Austria (AUT)   # 22 players

(18)  FW  Lajos Csordás                      ##    7, Budapesti Vasas SE 
(19)  FW  Péter Palotás                      ##   16, Budapesti Vörös Lobogó 
(20)  FW  Mihály Tóth                        ##    3, Budapesti Dózsa 


== Italy (ITA)   # 22 players

 (1)  GK  Giorgio Ghezzi                     ##    1, Internazionale 
(12)  GK  Giovanni Viola                     ##    0, Juventus 
(22)  GK  Leonardo Costagliola               ##    3, Fiorentina 

 (2)  DF  Guido Vincenzi                     ##    1, Internazionale 
 (3)  DF  Giovanni Giacomazzi                ##    1, Internazionale 
 (4)  DF  Maino Neri                         ##    6, Internazionale 
(13)  DF  Ardico Magnini                     ##    4, Fiorentina 
(14)  DF  Sergio Cervato                     ##   11, Fiorentina 
(15)  DF  Giacomo Mari                       ##    7, Juventus 

 (5)  MF  Omero Tognon                       ##   11, Milan 
 (6)  MF  Fulvio Nesti                       ##    2, Internazionale 
(16)  MF  Rino Ferrario                      ##    1, Juventus 
(18)  MF  Gino Pivatelli                     ##    0, Bologna 
(20)  MF  Guido Gratton                      ##    1, Fiorentina 

 (7)  FW  Ermes Muccinelli                   ##    9, Juventus 
 (8)  FW  Egisto Pandolfini                  ##   14, Roma 
 (9)  FW  Carlo Galli                        ##    2, Roma 
(10)  FW  Gino Cappello                      ##   10, Bologna 
(11)  FW  Benito Lorenzi                     ##   11, Internazionale 
(17)  FW  Armando Segato                     ##    3, Fiorentina 
(19)  FW  Giampiero Boniperti                ##   22, Juventus 
(21)  FW  Amleto Frignani                    ##    6, Milan 


== Korea (KOR)   # 20 players

 (1)  GK  Hong Deok-Young                    ##    -, Joseon Textile FC 
(12)  GK  Ham Heung-Chul                     ##    -, Provost Marshal Office 

 (2)  DF  Park Kyu-Chung                     ##    -, Quartermaster Corps 
 (3)  DF  Park Jae-Seung                     ##    -, CIC 
 (6)  DF  Min Byung-Dae                      ##    -, CIC 
(13)  DF  Lee Chong-Kap                      ##    -, CIC 
(14)  DF  Han Chang-Wha                      ##    -, CIC 

 (4)  MF  Kang Chang-Gi                      ##    -, Joseon Textile FC 
 (5)  MF  Lee Sang-Yi                        ##    -, Joseon Textile FC                     
(11)  MF  Chung Nam-Sik                      ##    -, Intelligence Corps 
(15)  MF  Kim Ji-Sung                        ##    -, CIC 
(16)  MF  Chu Yung-Kwang                     ##    -, Naval Forces 

 (7)  FW  Lee Soo-Nam                        ##    -, CIC 
 (8)  FW  Choi Chung-Min                     ##    -, CIC 
 (9)  FW  Woo Sang-Kwon                      ##    -, Provost Marshal Office 
(10)  FW  Sung Nak-Woon                      ##    -, Quartermaster Corps 
(17)  FW  Park Il-Kap                        ##    -, CIC 
(18)  FW  Choi Yung-Keun                     ##    -, Naval Forces 
(19)  FW  Li Ki-Joo                          ##    -, Joseon Textile FC 
(20)  FW  Chung Kook-Chin                    ##    -, Naval Forces 


== Mexico (MEX)   # 22 players

 (1)  GK  Antonio Carbajal                   ##   11, FC León 
(12)  GK  Salvador Mota                      ##    0, Atlante F.C. 

 (2)  DF  Narciso López                      ##    3, CD Oro 
 (4)  DF  Saturnino Martínez                 ##    6, Necaxa 
 (5)  DF  Raúl Cárdenas                      ##    4, Puebla F.C. 
(13)  DF  Sergio Bravo                       ##    6, FC León 

 (3)  MF  Jorge Romo                         ##    5, Club Deportivo Marte 
 (6)  MF  Rafael Avalos                      ##    3, Atlante F.C. 
(14)  MF  Juan Gómez                         ##    0, Atlas 
(16)  MF  Pedro Nájera                       ##    0, Club América 
(21)  MF  Mario Ochoa                        ##    5, Club Deportivo Marte 

 (7)  FW  Alfredo Torres                     ##    3, Atlas 
 (8)  FW  José Naranjo                       ##   12, CD Oro 
 (9)  FW  José Luis Lamadrid                 ##    5, Necaxa 
(10)  FW  Tomás Balcázar                     ##    9, CD Guadalajara 
(11)  FW  Raúl Arellano                      ##    0, CD Guadalajara 
(15)  FW  Carlos Blanco                      ##    4, Necaxa 
(17)  FW  Carlos Septién                     ##   11, CD Tampico 
(18)  FW  Carlos Carus                       ##    0, Club Toluca 
(19)  FW  Moises Jinich                      ##    1, Atlante F.C. 
(20)  FW  José Antonio Roca                  ##    7, CD Zacatepec 
(22)  FW  Ranulfo Cortés                     ##    0, CD Oro 


== Scotland (SCO)   # 22 players

 (1)  GK  Fred Martin                        ##    2, Aberdeen 
(14)  GK  John Anderson                      ##    1, Leicester City 

 (2)  DF  Willie Cunningham                  ##    3, Preston North End 
 (3)  DF  Jock Aird                          ##    2, Burnley 
 (4)  DF  Bobby Evans                        ##   17, Celtic 
 (5)  DF  Tommy Docherty                     ##    5, Preston North End 
(18)  DF  Alex Wilson                        ##    1, Portsmouth 

 (6)  MF  Jimmy Davidson                     ##    2, Partick Thistle 
 (7)  MF  Doug Cowie                         ##    6, Dundee 
(17)  MF  David Mathers                      ##    1, Partick Thistle 

 (8)  FW  John Mackenzie                     ##    4, Partick Thistle 
 (9)  FW  George Hamilton                    ##    5, Aberdeen 
(10)  FW  Allan Brown                        ##   11, Blackpool 
(11)  FW  Neil Mochan                        ##    1, Celtic 
(12)  FW  Willie Fernie                      ##    1, Celtic 
(13)  FW  Willie Ormond                      ##    3, Hibernian 
(15)  FW  Bobby Johnstone                    ##   11, Hibernian 
(16)  FW  Jackie Henderson                   ##    4, Portsmouth 
(19)  FW  Jimmy Binning                      ##    0, Queen of the South 
(20)  FW  Bobby Combe                        ##    3, Hibernian 
(21)  FW  Ernie Copland                      ##    0, Raith Rovers 
(22)  FW  Ian McMillan                       ##    3, Airdrieonians 


== Czechoslovakia (TCH)   # 22 players

 (1)  GK  Theodor Reimann                    ##    4, Slovan Bratislava 
(21)  GK  Imrich Stacho                      ##    6, Tankista Praha 
(22)  GK  Viliam Schrojf                     ##    1, Křídla vlasti Olomouc 

 (2)  DF  František Šafránek                 ##   10, ÚDA Prague 
 (4)  DF  Ladislav Novák                     ##   11, ÚDA Prague 
 (5)  DF  Jiří Trnka                         ##   20, ÚDA Prague 
(12)  DF  Anton Krásnohorský                 ##    9, Iskra Žilina 

 (3)  MF  Svatopluk Pluskal                  ##    3, ÚDA Prague 
 (6)  MF  Michal Benedikovič                 ##    7, Slovan Bratislava 
(13)  MF  Jiří Hledík                        ##    3, Křídla vlasti Olomouc 
(14)  MF  Jan Hertl                          ##    6, ÚDA Prague 
(16)  MF  Zdeněk Procházka                   ##    1, Spartak Praha Sokolovo 

 (7)  FW  Ladislav Hlaváček                  ##   13, ÚDA Prague 
 (8)  FW  Otto Hemele                        ##    8, ÚDA Prague 
 (9)  FW  Anton Malatinský                   ##   10, Baník Handlová 
(10)  FW  Emil Pažický                       ##   14, Slovan Bratislava 
(11)  FW  Jiří Pešek                         ##    4, Spartak Praha Sokolovo 
(15)  FW  Ladislav Kačáni                    ##    7, CH Bratislava 
(17)  FW  Tadeáš Kraus                       ##    5, Křídla vlasti Olomouc 
(18)  FW  Josef Majer                        ##    0, Baník Kladno 
(19)  FW  Jaroslav Košnar                    ##    1, CH Bratislava 
(20)  FW  Kazimír Gajdoš                     ##    0, Tatran Prešov 


== Turkey (TUR)   # 22 players

 (1)  GK  Turgay Şeren                       ##   11, Galatasaray S.K. 
(12)  GK  Şükrü Ersoy                        ##    3, MKE Ankaragücü SK 
(13)  GK  Bülent Gurbuz                      ##    0, Besiktas 

 (2)  DF  Rıdvan Bolatlı                     ##    2, MKE Ankaragücü SK 
 (3)  DF  Basri Dirimlili                    ##    3, Fenerbahçe SK 
 (4)  DF  Mustafa Ertan                      ##    4, MKE Ankaragücü SK 
(14)  DF  Ali Beratlıgil                     ##    2, Galatasaray S.K. 
(16)  DF  Nedim Günar                        ##    0, Fenerbahçe SK 
(17)  DF  Naci Erdem                         ##    0, Fenerbahçe SK 
