= World Cup 1970    # 16 Teams

== Belgium (BEL)   # 22 players

(11)  MF  Maouhoub Ghazouani                 ##    -, FAR Rabat 
(15)  MF  Hamed Dahane                       ##    -, Union Sidi Kacem 
(16)  MF  Moustapha Choukri                  ##    -, RCA Casablanca 

 (9)  FW  Ahmed Faras                        ##    -, Chabab Mohammedia 
(10)  FW  Mohammed El Filali                 ##    -, Mouloudia Oujda 
(14)  FW  Houmane Jarir                      ##    -, RCA Casablanca 
(17)  FW  Ahmed Alaoui                       ##    -, RS Settat 


== Mexico (MEX)   # 22 players

 (1)  GK  Ignacio Calderón                   ##    -, Guadalajara 
(12)  GK  Antonio Mota                       ##    -, Necaxa 
(22)  GK  Francisco Castrejón                ##    -, UNAM 

 (2)  DF  Juan Manuel Alejandrez             ##    -, Cruz Azul 
 (3)  DF  Gustavo Peña                       ##    -, Cruz Azul 
 (4)  DF  Francisco Montes                   ##    -, Veracruz 
 (5)  DF  Mario Pérez                        ##    -, América 
 (6)  DF  Guillermo Hernández                ##    -, América 
(13)  DF  José Vantolrá                      ##    -, Toluca 
(14)  DF  Javier Guzmán                      ##    -, Cruz Azul 

 (7)  MF  Marcos Rivas                       ##    -, Atlante 
 (8)  MF  Antonio Munguía                    ##    -, Cruz Azul 
 (9)  MF  Enrique Borja                      ##    -, América 
(15)  MF  Héctor Pulido                      ##    -, Cruz Azul 
(17)  MF  José Luis González                 ##    -, UNAM 
(18)  MF  Mario Velarde                      ##    -, UNAM 
(20)  MF  Juan Ignacio Basaguren             ##    -, Atlante 

(10)  FW  Horacio López Salgado              ##    -, América 
(11)  FW  Aarón Padilla                      ##    -, UNAM 
(16)  FW  Isidoro Díaz                       ##    -, León 
(19)  FW  Javier Valdivia                    ##    -, Guadalajara 
(21)  FW  Javier Fragoso                     ##    -, América 


== Peru (PER)   # 22 players

 (1)  GK  Luis Rubiños                       ##    -, Sporting Cristal 
(12)  GK  Rubén Correa                       ##    -, Universitario 
(21)  GK  Jesus Goyzueta                     ##    -, Universitario 

 (2)  DF  Eloy Campos                        ##    -, Sporting Cristal 
 (3)  DF  Orlando de la Torre                ##    -, Sporting Cristal 
 (4)  DF  Héctor Chumpitaz                   ##    -, Universitario 
 (5)  DF  Nicolás Fuentes                    ##    -, Universitario 
