= World Cup 1994    # 24 Teams

== Argentina (ARG)   # 22 players

(15)  MF  El Arbi Hababi                     ##    -, Olympique Khouribga 
(20)  MF  Hassan Kachloul                    ##    -, Nîmes 
(21)  MF  Mohammed Samadi                    ##    -, FAR Rabat 

 (9)  FW  Mohammed Chaouch                   ##    -, Nice 
(16)  FW  Hassan Nader                       ##    -, Farense 
(17)  FW  Abdeslam Laghrissi                 ##    -, Raja Casablanca 
(19)  FW  Abdelmajid Bouyboud                ##    -, WAC Casablanca 


== Mexico (MEX)   # 22 players

 (1)  GK  Jorge Campos                       ##   54, Pumas de la UNAM 
(12)  GK  Félix Fernández                    ##    -, Atlante 
(22)  GK  Adrián Chávez                      ##    -, Club América 

 (2)  DF  Claudio Suárez                     ##   41, Pumas de la UNAM 
 (3)  DF  Juan de Dios Ramírez Perales       ##   42, Pumas de la UNAM 
 (4)  DF  Ignacio Ambríz                     ##    -, Necaxa 
 (5)  DF  Ramón Ramírez                      ##    -, Santos 
(18)  DF  José Luis Salgado                  ##    -, Tecos 
(21)  DF  Raúl Gutiérrez                     ##    -, Atlante 

 (6)  MF  Marcelino Bernal                   ##    -, Toluca 
 (8)  MF  Alberto García Aspe                ##    -, Necaxa 
(13)  MF  Juan Carlos Chávez                 ##    -, Atlas 
(14)  MF  Joaquín del Olmo                   ##    -, Veracruz 
(15)  MF  Missael Espinoza                   ##    -, Guadalajara 
(16)  MF  Luis Antonio Valdéz                ##    -, León 
(17)  MF  Benjamín Galindo                   ##    -, Guadalajara 
(20)  MF  Jorge Rodríguez                    ##    -, Toluca 

 (7)  FW  Carlos Hermosillo                  ##    -, Cruz Azul 
 (9)  FW  Hugo Sánchez                       ##    -, Rayo Vallecano 
(10)  FW  Luis García                        ##    -, Atlético Madrid 
(11)  FW  Luis Roberto Alves                 ##    -, Club América 
(19)  FW  Luis Miguel Salvador               ##    -, Atlante 


== Nigeria (NGA)   # 22 players

 (1)  GK  Peter Rufai                        ##    -, Go Ahead Eagles 
(16)  GK  Alloysius Agu                      ##    -, FC Liège 
(22)  GK  Wilfred Agbonavbare                ##    -, Rayo Vallecano 

 (2)  DF  Augustine Eguavoen                 ##    -, Kortrijk 
 (3)  DF  Benedict Iroha                     ##    -, Vitesse 
 (4)  DF  Stephen Keshi                      ##    -, Molenbeek 
 (5)  DF  Uche Okechukwu                     ##    -, Fenerbahçe 
 (6)  DF  Chidi Nwanu                        ##    -, Anderlecht 
(13)  DF  Emeka Ezeugo                       ##    -, Budapest Honvéd 
(19)  DF  Michael Emenalo                    ##    -, Eintracht Trier 
(20)  DF  Uche Okafor                        ##    -, Hannover 96 

 (7)  MF  Finidi George                      ##    -, Ajax 
 (8)  MF  Thompson Oliha                     ##    -, Africa Sports 
(10)  MF  Jay-Jay Okocha                     ##    -, Eintracht Frankfurt 
(11)  MF  Emmanuel Amuneke                   ##    -, Zamalek 
(15)  MF  Sunday Oliseh                      ##    -, FC Liège 
(21)  MF  Mutiu Adepoju                      ##    -, Racing Santander 

 (9)  FW  Rashidi Yekini                     ##    -, Vitória de Setúbal 
(12)  FW  Samson Siasia                      ##    -, Nantes 
(14)  FW  Daniel Amokachi                    ##    -, Club Brugge 
(17)  FW  Victor Ikpeba                      ##    -, AS Monaco 
(18)  FW  Efan Ekoku                         ##    -, Norwich City 


== Netherlands (NED)   # 22 players

 (1)  GK  Ed de Goeij                        ##   14, Feyenoord 
(13)  GK  Edwin van der Sar                  ##    0, Ajax 
(22)  GK  Theo Snelders                      ##    1, Aberdeen 

 (2)  DF  Frank de Boer                      ##   25, Ajax 
 (4)  DF  Ronald Koeman                      ##   73, Barcelona 
(14)  DF  Ulrich van Gobbel                  ##    6, Feyenoord 
(15)  DF  Danny Blind                        ##   24, Ajax 
(16)  DF  Arthur Numan                       ##    4, PSV 
(18)  DF  Stan Valckx                        ##    7, Sporting CP 
(21)  DF  John de Wolf                       ##    6, Feyenoord 

 (3)  MF  Frank Rijkaard                     ##   69, Ajax 
 (5)  MF  Rob Witschge                       ##   22, Feyenoord 
 (6)  MF  Jan Wouters                        ##   66, PSV 
 (7)  MF  Marc Overmars                      ##   13, Ajax 
 (8)  MF  Wim Jonk                           ##   15, Internazionale 
 (9)  MF  Ronald de Boer                     ##    9, Ajax 
(11)  MF  Bryan Roy                          ##   21, Foggia 
(17)  MF  Gaston Taument                     ##    6, Feyenoord 
(20)  MF  Aron Winter                        ##   38, Lazio 

(10)  FW  Dennis Bergkamp                    ##   31, Internazionale 
(12)  FW  John Bosman                        ##   27, Anderlecht 
(19)  FW  Peter van Vossen                   ##   10, Ajax 


== Norway (NOR)   # 22 players

 (1)  GK  Erik Thorstvedt                    ##   84, Tottenham Hotspur 
(12)  GK  Frode Grodås                       ##   12, Lillestrøm 
(13)  GK  Ola By Rise                        ##   25, Rosenborg 

 (2)  DF  Gunnar Halle                       ##   44, Oldham Athletic 
 (3)  DF  Erland Johnsen                     ##   20, Chelsea 
 (4)  DF  Rune Bratseth                      ##   57, Werder Bremen 
 (5)  DF  Stig Inge Bjørnebye                ##   34, Liverpool 
(14)  DF  Roger Nilsen                       ##   20, Sheffield United 
(17)  DF  Dan Eggen                          ##    2, Brøndby 
