= World Cup 1966    # 16 Teams

== Argentina (ARG)   # 22 players

 (5)  MF  Ignacio Zoco                       ##   19, Real Madrid 
 (7)  MF  José Ufarte                        ##    6, Atlético Madrid 
 (8)  MF  Amancio                            ##    9, Real Madrid 
(17)  MF  Gallego                            ##    0, Barcelona 
(18)  MF  Pirri                              ##    0, Real Madrid 
(20)  MF  Joaquín Peiró                      ##   10, Internazionale Milano 
(21)  MF  Adelardo                           ##   10, Atlético Madrid 

 (9)  FW  Marcelino                          ##   12, Real Zaragoza 
(10)  FW  Luis Suárez                        ##   29, Internazionale Milano 
(11)  FW  Francisco Gento                    ##   36, Real Madrid 
(19)  FW  Josep Maria Fusté                  ##    5, Barcelona 
(22)  FW  Carlos Lapetra                     ##   12, Real Zaragoza 


== France (FRA)   # 22 players

 (1)  GK  Marcel Aubour                      ##   11, Lyon 
(21)  GK  Georges Carnus                     ##    1, Stade Français 
(22)  GK  Johnny Schuth                      ##    0, Strasbourg 

 (2)  DF  Marcel Artelesa                    ##   17, AS Monaco 
 (5)  DF  Bernard Bosquier                   ##    9, Sochaux 
 (6)  DF  Robert Budzynski                   ##    4, Nantes 
 (7)  DF  André Chorda                       ##   20, Bordeaux 
(10)  DF  Héctor De Bourgoing                ##    2, Bordeaux 
(11)  DF  Gabriel De Michele                 ##    0, Nantes 
(12)  DF  Jean Djorkaeff                     ##    7, Lyon 
(18)  DF  Jean-Claude Piumi                  ##    2, Valenciennes 

 (4)  MF  Joseph Bonnel                      ##   18, Valenciennes 
(15)  MF  Yves Herbet                        ##    4, Sedan 
(16)  MF  Robert Herbin                      ##   17, Saint-Etienne 
(17)  MF  Lucien Muller                      ##   16, Barcelona 
(20)  MF  Jacques Simon                      ##    5, Nantes 

 (3)  FW  Edmond Baraffe                     ##    3, Toulouse 
 (8)  FW  Nestor Combin                      ##    6, Varese 
 (9)  FW  Didier Couécou                     ##    0, Bordeaux 
(13)  FW  Philippe Gondet                    ##    -,  
(14)  FW  Gérard Hausser                     ##    9, Strasbourg 
(19)  FW  Laurent Robuschi                   ##    4, Bordeaux 


== West Germany (FRG)   # 22 players

 (1)  GK  Hans Tilkowski                     ##   32, Borussia Dortmund 
(21)  GK  Günter Bernard                     ##    4, Werder Bremen 
(22)  GK  Sepp Maier                         ##    1, Bayern Munich 

 (2)  DF  Horst-Dieter Höttges               ##   13, Werder Bremen 
 (3)  DF  Karl-Heinz Schnellinger            ##   31, Milan 
 (5)  DF  Willi Schulz                       ##   31, Hamburg 
 (6)  DF  Wolfgang Weber                     ##   12, Köln 
(14)  DF  Friedel Lutz                       ##   11, Eintracht Frankfurt 
(15)  DF  Bernd Patzke                       ##    2, 1860 Munich 
(17)  DF  Wolfgang Paul                      ##    0, Borussia Dortmund 
(18)  DF  Klaus-Dieter Sieloff               ##    8, Stuttgart 

 (4)  MF  Franz Beckenbauer                  ##    8, Bayern Munich 
 (7)  MF  Albert Brülls                      ##   23, Brescia 
(12)  MF  Wolfgang Overath                   ##   16, Köln 
(16)  MF  Max Lorenz                         ##    7, Werder Bremen 

 (8)  FW  Helmut Haller                      ##   22, Bologna 
 (9)  FW  Uwe Seeler                         ##   48, Hamburg 
(10)  FW  Sigfried Held                      ##    4, Borussia Dortmund 
(11)  FW  Lothar Emmerich                    ##    1, Borussia Dortmund 
(13)  FW  Heinz Hornig                       ##    7, Köln 
(19)  FW  Werner Krämer                      ##   11, Meidericher 
(20)  FW  Jürgen Grabowski                   ##    3, Eintracht Frankfurt 


== Hungary (HUN)   # 22 players

 (1)  GK  Antal Szentmihályi                 ##   20, Újpesti Dózsa 
(21)  GK  József Gelei                       ##    7, Tatabányai Bányász 
(22)  GK  István Géczi                       ##    2, Ferencváros 

 (2)  DF  Benő Káposzta                      ##    3, Újpesti Dózsa 
 (3)  DF  Sándor Mátrai                      ##   71, Ferencvárosi 
 (4)  DF  Kálmán Sóvári                      ##   16, Újpesti Dózsa 
 (5)  DF  Kálmán Mészöly                     ##   37, Vasas 
(17)  DF  Gusztáv Szepesi                    ##    2, Tatabányai Bányász 
(18)  DF  Kálmán Ihász                       ##    9, Vasas 

 (6)  MF  Ferenc Sipos                       ##   71, Budapest Honvéd 
 (8)  MF  Zoltán Varga                       ##    3, Ferencvárosi 
 (9)  MF  Flórián Albert                     ##   51, Ferencvárosi 
(13)  MF  Imre Mathesz                       ##    5, Vasas 
(14)  MF  István Nagy                        ##   19, MTK Hungária 

 (7)  FW  Ferenc Bene                        ##   17, Újpesti Dózsa 
(10)  FW  János Farkas                       ##   13, Vasas 
(11)  FW  Gyula Rákosi                       ##   27, Ferencvárosi 
(12)  FW  Máté Fenyvesi                      ##   76, Ferencvárosi 
(15)  FW  Dezső Molnár                       ##    1, Vasas 
(16)  FW  Lajos Tichy                        ##   71, Budapest Honvéd 
(19)  FW  Lajos Puskás                       ##    2, Vasas 
