= World Cup 2010    # 32 Teams

== Argentina (ARG)   # 23 players

(12)  GK  Víctor Valdés                      ##    1, Barcelona (ESP)
(23)  GK  Pepe Reina                         ##   20, Liverpool (ENG)

 (2)  DF  Raúl Albiol                        ##   23, Real Madrid (ESP)
 (3)  DF  Gerard Piqué                       ##   16, Barcelona (ESP)
 (4)  DF  Carlos Marchena                    ##   59, Valencia (ESP)
 (5)  DF  Carles Puyol                       ##   83, Barcelona (ESP)
(11)  DF  Joan Capdevila                     ##   46, Villarreal (ESP)
(15)  DF  Sergio Ramos                       ##   60, Real Madrid (ESP)
(17)  DF  Álvaro Arbeloa                     ##   15, Real Madrid (ESP)

 (6)  MF  Andrés Iniesta                     ##   43, Barcelona (ESP)
 (8)  MF  Xavi                               ##   87, Barcelona (ESP)
(10)  MF  Cesc Fàbregas                      ##   49, Arsenal (ENG)
(13)  MF  Juan Mata                          ##    8, Valencia (ESP)
(14)  MF  Xabi Alonso                        ##   69, Real Madrid (ESP)
(16)  MF  Sergio Busquets                    ##   13, Barcelona (ESP)
(20)  MF  Javi Martínez                      ##    2, Athletic Bilbao (ESP)
(21)  MF  David Silva                        ##   36, Valencia (ESP)
(22)  MF  Jesús Navas                        ##    6, Sevilla (ESP)

 (7)  FW  David Villa                        ##   58, Valencia (ESP)
 (9)  FW  Fernando Torres                    ##   73, Liverpool (ENG)
(18)  FW  Pedro                              ##    3, Barcelona (ESP)
(19)  FW  Fernando Llorente                  ##    7, Athletic Bilbao (ESP)


== France (FRA)   # 23 players

 (1)  GK  Hugo Lloris                        ##   11, Lyon (FRA)
(16)  GK  Steve Mandanda                     ##   13, Marseille (FRA)
(23)  GK  Cédric Carrasso                    ##    0, Bordeaux (FRA)

 (2)  DF  Bacary Sagna                       ##   20, Arsenal (ENG)
 (3)  DF  Éric Abidal                        ##   54, Barcelona (ESP)
 (4)  DF  Anthony Réveillère                 ##    6, Lyon (FRA)
 (5)  DF  William Gallas                     ##   81, Arsenal (ENG)
 (6)  DF  Marc Planus                        ##    1, Bordeaux (FRA)
(13)  DF  Patrice Evra                       ##   30, Manchester United (ENG)
(17)  DF  Sébastien Squillaci                ##   20, Arsenal (ENG)
(22)  DF  Gaël Clichy                        ##    4, Arsenal (ENG)

 (7)  MF  Franck Ribéry                      ##   45, Bayern Munich (GER)
 (8)  MF  Yoann Gourcuff                     ##   20, Lyon (FRA)
(14)  MF  Jérémy Toulalan                    ##   34, Lyon (FRA)
(15)  MF  Florent Malouda                    ##   54, Chelsea (ENG)
(18)  MF  Alou Diarra                        ##   25, Bordeaux (FRA)
(19)  MF  Abou Diaby                         ##    5, Arsenal (ENG)
(20)  MF  Mathieu Valbuena                   ##    2, Marseille (FRA)

 (9)  FW  Djibril Cissé                      ##   39, Panathinaikos (GRE)
(10)  FW  Sidney Govou                       ##   46, Lyon (FRA)
(11)  FW  André-Pierre Gignac                ##   13, Marseille (FRA)
(12)  FW  Thierry Henry                      ##  121, Barcelona (ESP)
(21)  FW  Nicolas Anelka                     ##   67, Chelsea (ENG)


== Ghana (GHA)   # 23 players

 (1)  GK  Daniel Adjei                       ##    2, Liberty Professionals (GHA)
(16)  GK  Stephen Ahorlu                     ##    0, Heart of Lions (GHA)
(22)  GK  Richard Kingson                    ##   58, Wigan Athletic (ENG)

 (2)  DF  Hans Sarpei                        ##   23, Bayer Leverkusen (GER)
 (4)  DF  John Paintsil                      ##   65, Fulham (ENG)
 (5)  DF  John Mensah                        ##   58, Sunderland (ENG)
 (7)  DF  Samuel Inkoom                      ##   15, Basel (SUI)
 (8)  DF  Jonathan Mensah                    ##    3, Granada (ESP)
(15)  DF  Isaac Vorsah                       ##    6, 1899 Hoffenheim (GER)
(17)  DF  Abdul Rahim Ayew                   ##    6, Zamalek (EGY)
(19)  DF  Lee Addy                           ##    3, Bechem Chelsea (GHA)

 (6)  MF  Anthony Annan                      ##   38, Rosenborg (NOR)
 (9)  MF  Derek Boateng                      ##   19, Getafe (ESP)
(10)  MF  Stephen Appiah                     ##   56, Bologna (ITA)
(11)  MF  Sulley Muntari                     ##   52, Internazionale (ITA)
(13)  MF  André Ayew                         ##   15, Arles-Avignon (FRA)
(20)  MF  Quincy Owusu-Abeyie                ##   12, Al-Sadd (QAT)
(21)  MF  Kwadwo Asamoah                     ##   29, Udinese (ITA)
(23)  MF  Kevin-Prince Boateng               ##    0, Portsmouth (ENG)

 (3)  FW  Asamoah Gyan                       ##   32, Rennes (FRA)
