= World Cup 1990    # 24 Teams

== United Arab Emirates (UAE)   # 22 players

(15)  DF  Rónald Marín                       ##    -, CS Herediano 
(18)  DF  Geovanny Jara                      ##    -, CS Herediano 
(20)  DF  Mauricio Montero                   ##    -, Alajuelense 

 (6)  MF  José Carlos Chaves                 ##    -, LD Alajuelense 
 (8)  MF  Germán Chavarría                   ##    -, CS Herediano 
(10)  MF  Oscar Ramírez                      ##    -, Alajuelense 
(12)  MF  Róger Gómez                        ##    -, CS Cartaginés 
(14)  MF  Juan Cayasso                       ##    -, Deportivo Saprissa 
(16)  MF  José Jaikel                        ##    -, Deportivo Saprissa 
(19)  MF  Héctor Marchena                    ##    -, CS Cartaginés 

 (7)  FW  Hernán Medford                     ##    -, Deportivo Saprissa 
 (9)  FW  Alexandre Guimarães                ##    -, Deportivo Saprissa 
(11)  FW  Claudio Jara                       ##    -, CS Herediano 
(17)  FW  Roy Myers                          ##    -, AS Limonense 


== Egypt (EGY)   # 22 players

 (1)  GK  Ahmed Shobair                      ##    -, Al-Ahly 
(21)  GK  Ayman Taher                        ##    -, Zamalek 
(22)  GK  Thabet El-Batal                    ##    -, Al-Ahly 

 (2)  DF  Ibrahim Hassan                     ##    -, Al-Ahly 
 (3)  DF  Rabie Yassin                       ##    -, Al-Ahly 
 (4)  DF  Hany Ramzy                         ##    -, Al-Ahly 
 (5)  DF  Hesham Yakan                       ##    -, Zamalek 
 (6)  DF  Ashraf Kasem                       ##    -, Zamalek 
(13)  DF  Ahmed Ramzy                        ##    -, Zamalek 

 (8)  MF  Magdi Abdelghani                   ##    -, Beira-Mar 
(10)  MF  Gamal Abdelhamid                   ##    -, Zamalek 
(12)  MF  Taher Abouzaid                     ##    -, Al-Ahly 
(14)  MF  Alaa Maihoub                       ##    -, Al-Ahly 
(15)  MF  Saber Eid                          ##    -, Ghazl El-Mehalla 
(16)  MF  Magdy Tolba                        ##    -, PAOK 
(18)  MF  Osama Oraby                        ##    -, Al-Ahly 
(20)  MF  Ahmed El-Kass                      ##    -, El-Olympi Alexandria 

 (7)  FW  Ismail Youssef                     ##    -, Zamalek 
 (9)  FW  Hossam Hassan                      ##    -, Al-Ahly 
(11)  FW  Tarek Soliman                      ##    -, Al-Masry 
(17)  FW  Ayman Shawky                       ##    -, Al-Ahly 
(19)  FW  Adel Abdelrahman                   ##    -, Al-Ahly 


== England (ENG)   # 23 players

 (1)  GK  Peter Shilton                      ##  118, Derby County 
   -  GK  David Seaman                       ##    2, Queens Park Rangers 
(13)  GK  Chris Woods                        ##   16, Rangers 
   -  GK  Dave Beasant                       ##    2, Chelsea 

 (2)  DF  Gary Stevens                       ##   39, Rangers 
 (3)  DF  Stuart Pearce                      ##   24, Nottingham Forest 
 (5)  DF  Des Walker                         ##   18, Nottingham Forest 
 (6)  DF  Terry Butcher                      ##   72, Rangers 
(12)  DF  Paul Parker                        ##    5, Queens Park Rangers 
(14)  DF  Mark Wright                        ##   24, Derby County 
(15)  DF  Tony Dorigo                        ##    3, Chelsea 

 (4)  MF  Neil Webb                          ##   24, Manchester United 
 (7)  MF  Bryan Robson                       ##   85, Manchester United 
 (8)  MF  Chris Waddle                       ##   52, Marseille 
(11)  MF  John Barnes                        ##   53, Liverpool 
(16)  MF  Steve McMahon                      ##   12, Liverpool 
(17)  MF  David Platt                        ##    5, Aston Villa 
(18)  MF  Steve Hodge                        ##   22, Nottingham Forest 
(19)  MF  Paul Gascoigne                     ##   11, Tottenham Hotspur 
(20)  MF  Trevor Steven                      ##   26, Rangers 

 (9)  FW  Peter Beardsley                    ##   40, Liverpool 
(10)  FW  Gary Lineker                       ##   51, Tottenham Hotspur 
(21)  FW  Steve Bull                         ##    7, Wolverhampton Wanderers 


== Spain (ESP)   # 22 players

 (1)  GK  Andoni Zubizarreta                 ##   49, Barcelona 
(13)  GK  Juan Carlos Ablanedo               ##    2, Sporting Gijón 
(22)  GK  José Manuel Ochotorena             ##    1, Valencia 

 (2)  DF  Chendo                             ##   17, Real Madrid 
 (3)  DF  Manuel Jiménez                     ##   13, Sevilla 
 (4)  DF  Genar Andrinúa                     ##   24, Athletic Club 
 (5)  DF  Manuel Sanchís                     ##   30, Real Madrid 
 (8)  DF  Quique                             ##   11, Valencia 
(12)  DF  Rafael Alkorta                     ##    1, Athletic Club 
(14)  DF  Alberto Górriz                     ##    8, Real Sociedad 
(17)  DF  Fernando Hierro                    ##    2, Real Madrid 

 (6)  MF  Rafael Martín Vázquez              ##   22, Real Madrid 
(10)  MF  Fernando                           ##    2, Valencia 
(11)  MF  Francisco Villarroya               ##    7, Real Zaragoza 
(15)  MF  Roberto                            ##   22, Barcelona 
(16)  MF  José Mari Bakero                   ##   11, Barcelona 
(18)  MF  Rafael Paz                         ##    3, Sevilla 
(21)  MF  Míchel                             ##   44, Real Madrid 

 (7)  FW  Miguel Pardeza                     ##    4, Real Zaragoza 
 (9)  FW  Emilio Butragueño                  ##   49, Real Madrid 
(19)  FW  Julio Salinas                      ##   26, Barcelona 
(20)  FW  Manolo                             ##   13, Atlético Madrid 


== West Germany (FRG)   # 22 players

 (1)  GK  Bodo Illgner                       ##   15, 1. FC Köln 
(12)  GK  Raimond Aumann                     ##    3, Bayern Munich 
(22)  GK  Andreas Köpke                      ##    1, 1. FC Nürnberg 

 (2)  DF  Stefan Reuter                      ##   16, Bayern Munich 
 (3)  DF  Andreas Brehme                     ##   51, Internazionale 
 (4)  DF  Jürgen Kohler                      ##   27, Bayern Munich 
 (5)  DF  Klaus Augenthaler                  ##   20, Bayern Munich 
 (6)  DF  Guido Buchwald                     ##   32, VfB Stuttgart 
(14)  DF  Thomas Berthold                    ##   35, Roma 
(16)  DF  Paul Steiner                       ##    1, 1. FC Köln 
(19)  DF  Hans Pflügler                      ##   10, Bayern Munich 

 (7)  MF  Pierre Littbarski                  ##   67, 1. FC Köln 
 (8)  MF  Thomas Häßler                      ##   12, 1. FC Köln 
(10)  MF  Lothar Matthäus                    ##   74, Internazionale 
(15)  MF  Uwe Bein                           ##    6, Eintracht Frankfurt 
(17)  MF  Andreas Möller                     ##   10, Borussia Dortmund 
(20)  MF  Olaf Thon                          ##   33, Bayern Munich 
(21)  MF  Günter Hermann                     ##    2, Werder Bremen 

 (9)  FW  Rudi Völler                        ##   63, Roma 
(11)  FW  Frank Mill                         ##   17, Borussia Dortmund 
(13)  FW  Karl-Heinz Riedle                  ##    6, Werder Bremen 
(18)  FW  Jürgen Klinsmann                   ##   18, Internazionale 


== Ireland (IRL)   # 22 players

 (1)  GK  Packie Bonner                      ##   38, Celtic 
(22)  GK  Gerry Peyton                       ##   28, Bournemouth 

 (2)  DF  Chris Morris                       ##   21, Celtic 
 (3)  DF  Steve Staunton                     ##   13, Liverpool 
 (4)  DF  Mick McCarthy                      ##   42, Millwall 
 (5)  DF  Kevin Moran                        ##   55, Blackburn Rovers 
 (7)  DF  Paul McGrath                       ##   36, Aston Villa 
(12)  DF  David O'Leary                      ##   51, Arsenal 
(14)  DF  Chris Hughton                      ##   50, Tottenham Hotspur 
(20)  DF  John Byrne                         ##   19, Le Havre 

 (6)  MF  Ronnie Whelan                      ##   38, Liverpool 
 (8)  MF  Ray Houghton                       ##   29, Liverpool 
(11)  MF  Kevin Sheedy                       ##   28, Everton 
(13)  MF  Andy Townsend                      ##   12, Norwich City 
(16)  MF  John Sheridan                      ##    8, Sheffield Wednesday 
(21)  MF  Alan McLoughlin                    ##    1, Swindon Town 

 (9)  FW  John Aldridge                      ##   30, Real Sociedad 
(10)  FW  Tony Cascarino                     ##   21, Aston Villa 
(15)  FW  Bernie Slaven                      ##    4, Middlesbrough 
(17)  FW  Niall Quinn                        ##   15, Manchester City 
(18)  FW  Frank Stapleton                    ##   71, Blackburn Rovers 
(19)  FW  David Kelly                        ##    6, Leicester City 


== Italy (ITA)   # 22 players

 (1)  GK  Walter Zenga                       ##   35, Internazionale 
(12)  GK  Stefano Tacconi                    ##    5, Juventus 
(22)  GK  Gianluca Pagliuca                  ##    0, Sampdoria 

 (2)  DF  Franco Baresi                      ##   39, Milan 
 (3)  DF  Giuseppe Bergomi                   ##   65, Internazionale 
 (4)  DF  Luigi De Agostini                  ##   24, Juventus 
 (5)  DF  Ciro Ferrara                       ##   16, Napoli 
 (6)  DF  Riccardo Ferri                     ##   29, Internazionale 
 (7)  DF  Paolo Maldini                      ##   19, Milan 
 (8)  DF  Pietro Vierchowod                  ##   29, Sampdoria 

 (9)  MF  Carlo Ancelotti                    ##   22, Milan 
(10)  MF  Nicola Berti                       ##   11, Internazionale 
(11)  MF  Fernando De Napoli                 ##   38, Napoli 
(13)  MF  Giuseppe Giannini                  ##   34, Roma 
(14)  MF  Giancarlo Marocchi                 ##    7, Juventus 
(17)  MF  Roberto Donadoni                   ##   29, Milan 

(15)  FW  Roberto Baggio                     ##    8, Fiorentina 
(16)  FW  Andrea Carnevale                   ##    8, Napoli 
(18)  FW  Roberto Mancini                    ##   20, Sampdoria 
(19)  FW  Salvatore Schillaci                ##    1, Juventus 
(20)  FW  Aldo Serena                        ##   18, Internazionale 
(21)  FW  Gianluca Vialli                    ##   42, Sampdoria 


== South Korea (KOR)   # 22 players

 (1)  GK  Kim Poong-Joo                      ##    -, Daewoo Royals 
(19)  GK  Jeong Gi-Dong                      ##    -, POSCO Atoms 
(21)  GK  Choi In-Young                      ##    -, Hyundai Horangi 

 (2)  DF  Park Kyung-Hoon                    ##    -, POSCO Atoms 
 (3)  DF  Choi Kang-Hee                      ##    -, Hyundai Horangi 
 (5)  DF  Chung Yong-Hwan                    ##    -, Daewoo Royals 
 (7)  DF  Noh Soo-Jin                        ##    -, Yukong Elephants 
(13)  DF  Chung Jong-Soo                     ##    -, Hyundai Horangi 
(15)  DF  Cho Min-Kook                       ##    -, Lucky-Goldstar Hwangso 
(17)  DF  Gu Sang-Bum                        ##    -, Lucky-Goldstar Hwangso 
(20)  DF  Hong Myung-Bo                      ##    -, Korea University 

 (4)  MF  Yoon Deuk-Yeo                      ##    -, Hyundai Horangi 
 (6)  MF  Lee Tae-Ho                         ##    -, Daewoo Royals 
(10)  MF  Lee Sang-Yoon                      ##    -, Ilhwa Chunma 
(12)  MF  Lee Heung-Sil                      ##    -, POSCO Atoms 
(14)  MF  Choi Soon-Ho                       ##    -, Lucky-Goldstar Hwangso 
(16)  MF  Kim Joo-Sung                       ##    -, Daewoo Royals 
(22)  MF  Lee Young-jin                      ##    -, Lucky-Goldstar Hwangso 

 (8)  FW  Chung Hae-Won                      ##    -, Daewoo Royals 
 (9)  FW  Hwangbo Kwan                       ##    -, Yukong Elephants 
(11)  FW  Byun Byung-Joo                     ##    -, Hyundai Horangi 
(18)  FW  Hwang Sun-Hong                     ##    -, Konkuk University 


== Netherlands (NED)   # 22 players

 (1)  GK  Hans van Breukelen                 ##   52, PSV 
(16)  GK  Joop Hiele                         ##    6, Feyenoord 
(22)  GK  Stanley Menzo                      ##    1, Ajax 

 (2)  DF  Berry van Aerle                    ##   22, PSV 
 (4)  DF  Ronald Koeman                      ##   43, Barcelona 
 (5)  DF  Adri van Tiggelen                  ##   40, Anderlecht 
(13)  DF  Graeme Rutjes                      ##    7, Mechelen 
(18)  DF  Henk Fräser                        ##    2, Roda JC 
(21)  DF  Danny Blind                        ##    5, Ajax 

 (3)  MF  Frank Rijkaard                     ##   42, Milan 
 (6)  MF  Jan Wouters                        ##   30, Ajax 
 (7)  MF  Erwin Koeman                       ##   23, Mechelen 
 (8)  MF  Gerald Vanenburg                   ##   36, PSV 
(10)  MF  Ruud Gullit                        ##   44, Milan 
(11)  MF  Richard Witschge                   ##    4, Ajax 
(14)  MF  John van 't Schip                  ##   22, Ajax 
(15)  MF  Bryan Roy                          ##    2, Ajax 
(20)  MF  Aron Winter                        ##   11, Ajax 

 (9)  FW  Marco van Basten                   ##   35, Milan 
(12)  FW  Wim Kieft                          ##   27, PSV 
